recordnumber;projectname;cat2;forg;center;year;mode;rely;data;cplx;time;stor;virt;turn;acap;aexp;pcap;vexp;lexp;modp;tool;sced;equivphyskloc;act_effort
58;de;avionicsmonitoring;g;2;1979;semidetached;h;l;h;n;n;l;l;n;n;n;n;h;h;n;l;9;84
59;slp;operatingsystem;g;6;1974;semidetached;vh;l;xh;xh;vh;l;l;h;vh;h;vl;h;vl;vl;h;980;4560
60;slp;operatingsystem;g;6;1975;embedded;n;l;h;n;n;l;l;vh;n;vh;h;h;n;l;n;350;720
61;Y;operatingsystem;g;5;1976;embedded;h;n;xh;h;h;l;l;h;n;n;h;h;h;h;n;70;458
62;Y;utility;g;5;1979;embedded;h;n;xh;h;h;l;l;h;n;n;h;h;h;h;n;271;2460
63;Y;avionicsmonitoring;g;5;1971;organic;n;n;n;n;n;l;l;h;h;h;n;h;n;l;n;90;162
64;Y;avionicsmonitoring;g;5;1980;organic;n;n;n;n;n;l;l;h;h;h;n;h;n;l;n;40;150
65;Y;avionicsmonitoring;g;5;1979;embedded;h;n;h;h;n;l;l;h;h;h;n;h;n;n;n;137;636
66;Y;avionicsmonitoring;g;5;1977;embedded;h;n;h;h;n;h;l;h;h;h;n;h;n;vl;n;150;882
67;Y;avionicsmonitoring;g;5;1976;embedded;vh;n;h;h;n;l;l;h;h;h;n;h;n;n;n;339;444
68;Y;avionicsmonitoring;g;5;1983;organic;l;h;l;n;n;h;l;h;h;h;n;h;n;l;n;240;192
69;Y;avionicsmonitoring;g;5;1978;semidetached;h;n;h;n;vh;l;n;h;h;h;h;h;l;l;l;144;576
70;Y;avionicsmonitoring;g;5;1979;semidetached;n;l;n;n;vh;l;n;h;h;h;h;h;l;l;l;151;432
71;Y;avionicsmonitoring;g;5;1979;semidetached;n;l;h;n;vh;l;n;h;h;h;h;h;l;l;l;34;72
72;Y;avionicsmonitoring;g;5;1979;semidetached;n;n;h;n;vh;l;n;h;h;h;h;h;l;l;l;98;300
73;Y;avionicsmonitoring;g;5;1979;semidetached;n;n;h;n;vh;l;n;h;h;h;h;h;l;l;l;85;300
74;Y;avionicsmonitoring;g;5;1982;semidetached;n;l;n;n;vh;l;n;h;h;h;h;h;l;l;l;20;240
75;Y;avionicsmonitoring;g;5;1978;semidetached;n;l;n;n;vh;l;n;h;h;h;h;h;l;l;l;111;600
76;Y;avionicsmonitoring;g;5;1978;semidetached;h;vh;h;n;vh;l;n;h;h;h;h;h;l;l;l;162;756
77;Y;avionicsmonitoring;g;5;1978;semidetached;h;h;vh;n;vh;l;n;h;h;h;h;h;l;l;l;352;1200
78;Y;operatingsystem;g;5;1979;semidetached;h;n;vh;n;vh;l;n;h;h;h;h;h;l;l;l;165;97
79;Y;missionplanning;g;5;1984;embedded;h;n;vh;h;h;l;vh;h;n;n;h;h;h;vh;h;60;409
80;Y;missionplanning;g;5;1984;embedded;h;n;vh;h;h;l;vh;h;n;n;h;h;h;vh;h;100;703
81;hst;Avionics;f;2;1980;embedded;h;vh;vh;xh;xh;h;h;n;n;n;l;l;n;n;h;32;1350
82;hst;Avionics;f;2;1980;embedded;h;h;h;vh;xh;h;h;h;h;h;h;h;h;n;n;53;480
84;spl;Avionics;f;3;1977;embedded;h;l;vh;vh;xh;l;n;vh;vh;vh;vl;vl;h;h;n;41;599
89;spl;Avionics;f;3;1977;embedded;h;l;vh;vh;xh;l;n;vh;vh;vh;vl;vl;h;h;n;24;430
91;Y;Avionics;f;5;1977;embedded;vh;h;vh;xh;xh;n;n;h;h;h;h;h;h;n;h;165;41782
92;Y;science;f;5;1977;embedded;vh;h;vh;xh;xh;n;n;h;h;h;h;h;h;n;h;65;17725
93;Y;Avionics;f;5;1977;embedded;vh;h;vh;xh;xh;n;l;h;h;h;h;h;h;n;h;70;16459
94;Y;Avionics;f;5;1977;embedded;vh;h;xh;xh;xh;n;n;h;h;h;h;h;h;n;h;50;19245
97;gal;Avionics;f;5;1982;embedded;vh;l;vh;vh;xh;l;l;h;l;n;vl;l;l;h;h;725;648
98;Y;Avionics;f;5;1980;embedded;vh;h;vh;xh;xh;n;n;h;h;h;h;h;h;n;h;233;8211
99;X;Avionics;f;2;1983;embedded;h;n;vh;vh;vh;h;h;n;n;n;l;l;n;n;h;163;480
100;X;Avionics;f;2;1983;embedded;h;n;vh;vh;vh;h;h;n;n;n;l;l;n;n;h;62;12
101;X;science;f;2;1983;embedded;h;n;vh;vh;vh;h;h;n;n;n;l;l;n;n;h;3;38
