Project_No,Simple Actors,Average Actors,Complex Actors,UAW,Simple UC,Average UC,Complex UC,UUCW,TCF,ECF,Real_P20,Real_Effort_Person_Hours,Language,Methodology,ApplicationType
43,0.0,0,2,6,0,12,15,345,1.0,0.92,308.0,6160,Visual Basic,Waterfall,Business Application
44,0.0,0,2,6,2,15,12,340,1.095,0.95,305.85,6117,C#,,Business Application
45,2.0,1,1,7,2,13,9,275,0.75,0.81,303.1,6062,Visual Basic,Waterfall,Business Application
46,0.0,2,5,19,1,27,15,500,1.03,0.8,302.55,6051,C#,,Business Application
47,1.0,1,5,18,3,26,15,500,0.72,0.67,302.4,6048,ASP,,Business Application
48,0.0,3,4,18,2,19,20,500,0.85,0.89,301.75,6035,,,Business Application
49,0.0,0,2,6,1,19,5,270,0.965,0.755,301.2,6024,C#,,
50,0.0,0,6,18,20,25,9,485,0.85,0.88,301.15,6023,PowerBuilder,,Business Application
51,2.0,2,4,18,5,25,20,575,1.118,0.995,299.65,5993,C#,Waterfall,
52,1.0,1,5,18,4,16,21,495,0.85,0.88,299.25,5985,C#,,Business Application
53,0.0,3,4,18,5,21,17,490,0.75,0.81,298.55,5971,C#,,Business Application
54,1.0,1,5,18,5,21,17,490,0.81,0.84,298.1,5962,Java,,Business Application
55,1.0,1,5,18,6,16,20,490,0.85,0.89,297.2,5944,,,
56,0.0,1,5,17,5,25,20,575,0.85,0.88,297.0,5940,,Waterfall,
57,0.0,0,2,6,0,14,8,260,0.98,0.97,296.35,5927,C#,,Business Application
58,0.0,1,5,17,3,18,19,480,0.85,0.89,294.25,5885,Java,Waterfall,Business Application
59,1.0,1,5,18,5,16,20,485,1.08,0.77,294.1,5882,Java,,Business Application
60,0.0,0,2,6,1,14,12,325,0.72,0.67,294.0,5880,,,
61,2.0,2,4,18,3,26,14,485,0.82,0.79,294.0,5880,C#,,Business Application
62,1.0,1,1,6,1,10,15,330,0.96,0.96,293.8,5876,C++,,Business Application
63,0.0,0,2,6,0,3,20,330,0.85,0.89,293.65,5873,C#,Multifunctional Teams,Business Application
64,1.0,1,5,18,3,17,20,485,1.095,0.95,293.25,5865,,,
65,0.0,0,6,18,2,17,20,480,0.965,0.755,293.15,5863,Visual Basic,,
66,1.0,1,5,18,3,21,17,480,0.98,0.97,292.8,5856,,Waterfall,Mathematically-Intensive Application
67,0.0,3,4,18,2,18,18,460,1.05,0.95,290.0,5800,SQL,,Business Application
68,1.0,2,4,17,1,23,22,565,1.03,0.8,289.55,5791,C,,Real-Time Application
69,0.0,2,5,19,5,30,10,475,0.95,0.92,289.1,5782,C#,,Business Application
70,0.0,0,2,6,5,15,5,250,1.0,0.92,288.9,5778,C#,Waterfall,Business Application
71,2.0,2,4,18,5,18,17,460,0.85,0.89,288.75,5775,Java,Waterfall,Business Application
72,0.0,0,0,9,0,0,0,304,1.0,1.0,301.2,7227,SQL,Unified Process and its variants,Mathematically-Intensive Application
73,0.0,0,0,9,0,0,0,355,1.0,1.0,298.55,8404,Java,Personal Software Process (PSP),Infrastructure Software
74,0.0,0,0,4,0,0,0,480,1.0,1.0,290.0,11175,ASP,Personal Software Process (PSP),Mathematically-Intensive Application
75,0.0,0,0,10,0,0,0,476,1.0,1.0,290.0,11221,C,Multifunctional Teams,Real-Time Application
76,0.0,0,0,14,0,0,0,331,1.0,1.0,339.35,7966,PowerBuilder,Rapid Application Development,Real-Time Application
77,0.0,0,0,18,0,0,0,274,1.0,1.0,338.05,6742,C++,Incremental,Business Application
78,0.0,0,0,9,0,0,0,564,1.0,1.0,298.55,13230,Visual Basic,Multifunctional Teams,Infrastructure Software
79,0.0,0,0,10,0,0,0,532,1.0,1.0,297.0,12514,ASP,Personal Software Process (PSP),Business Application
80,0.0,0,0,14,0,0,0,430,1.0,1.0,370.3,10251,SQL,Multifunctional Teams,Real-Time application
81,0.0,0,0,10,0,0,0,415,1.0,1.0,340.1,9813,Oracle,Waterfall,Business Application
82,0.0,0,0,5,0,0,0,269,1.0,1.0,347.1,6326,DELPHI,Rapid Application Development,Infrastructure Software
83,0.0,0,0,13,0,0,0,417,1.0,1.0,396.75,9928,.Net,Rapid Application Development (RAD),Business Application
84,0.0,0,0,0,0,0,0,400,1.0,1.0,293.15,9235,C++,Rapid Application Development (RAD),Business Application
85,0.0,0,0,7,0,0,0,421,1.0,1.0,336.25,9882,SQL,Rapid Application Development,Infrastructure Software
86,0.0,0,0,12,0,0,0,285,1.0,1.0,323.7,6857,DELPHI,Multifunctional Teams,Real-Time Application
87,0.0,0,0,10,0,0,0,383,1.0,1.0,352.2,9074,PowerBuilder,Rapid Application Development,Real-Time Application
88,0.0,0,0,14,0,0,0,283,1.0,1.0,297.0,6857,C#,Unified Process and its variants,Infrastructure Software
89,0.0,0,0,14,0,0,0,531,1.0,1.0,376.6,12583,Visual Basic,Personal Software Process (PSP),Infrastructure Software
90,0.0,0,0,13,0,0,0,382,1.0,1.0,320.6,9120,.Net,Waterfall,Real-Time Application
91,0.0,0,0,2,0,0,0,303,1.0,1.0,355.95,7042,Visual Basic,Personal Software Process (PSP),Real-Time application
92,0.0,0,0,13,0,0,0,417,1.0,1.0,347.1,9928,.Net,Waterfall,Real-Time Application
93,0.0,0,0,10,0,0,0,435,1.0,1.0,340.1,10274,PowerBuilder,Multifunctional Teams,Infrastructure Software
94,0.0,0,0,15,0,0,0,431,1.0,1.0,367.5,10297,.Net,Waterfall,Real-Time application
95,0.0,0,0,13,0,0,0,383,1.0,1.0,372.45,9143,ASP,Unified Process and its variants,Real-Time application
96,0.0,0,0,11,0,0,0,430,1.0,1.0,347.1,10182,ASP,Waterfall,Real-Time application
97,0.0,0,0,10,0,0,0,348,1.0,1.0,334.5,8266,SQL,Rapid Application Development,Real-Time application
98,0.0,0,0,8,0,0,0,472,1.0,1.0,320.0,11082,SQL,Rapid Application Development,Business Application
99,0.0,0,0,13,0,0,0,348,1.0,1.0,299.65,8335,Java,Multifunctional Teams,Real-Time Application
100,0.0,0,0,9,0,0,0,499,1.0,1.0,298.1,11729,DELPHI,Unified Process and its variants,Infrastructure Software
101,0.0,0,0,4,0,0,0,473,1.0,1.0,365.15,11013,ASP,Personal Software Process (PSP),Business Application
102,0.0,0,0,6,0,0,0,351,1.0,1.0,390.25,8243,Java,Rapid Application Development,Real-Time application
103,0.0,0,0,9,0,0,0,447,1.0,1.0,296.35,10528,CSP,Incremental,Real-Time Application
104,0.0,0,0,14,0,0,0,401,1.0,1.0,308.0,9582,SQL,Rapid Application Development,Infrastructure Software
105,0.0,0,0,0,0,0,0,378,1.0,1.0,297.0,8727,C++,Rapid Application Development,Real-Time application
106,0.0,0,0,10,0,0,0,285,1.0,1.0,382.15,6811,CSP,Rapid Application Development,Real-Time Application
107,0.0,0,0,8,0,0,0,285,1.0,1.0,370.3,6765,Java,Rapid Application Development (RAD),Mathematically-Intensive Application
108,0.0,0,0,9,0,0,0,445,1.0,1.0,330.0,10482,SQL,Personal Software Process (PSP),Business Application
109,0.0,0,0,8,0,0,0,249,1.0,1.0,398.1,5934,C#,Rapid Application Development (RAD),Mathematically-Intensive Application
110,0.0,0,0,9,0,0,0,300,1.0,1.0,290.0,7134,ASP,Unified Process and its variants,Real-Time application
111,0.0,0,0,21,0,0,0,436,1.0,1.0,355.55,10551,Java,Waterfall,Real-Time application
112,0.0,0,0,16,0,0,0,221,1.0,1.0,318.0,5472,Java,Personal Software Process (PSP),Mathematically-Intensive Application
113,0.0,0,0,12,0,0,0,290,1.0,1.0,368.25,6973,CSP,Incremental,Mathematically-Intensive Application
114,0.0,0,0,11,0,0,0,388,1.0,1.0,288.75,9212,C#,Rapid Application Development,Mathematically-Intensive Application
115,0.0,0,0,4,0,0,0,361,1.0,1.0,340.45,8427,Oracle,Rapid Application Development,Infrastructure Software
116,0.0,0,0,3,0,0,0,482,1.0,1.0,301.2,11198,Visual Basic,Incremental,Mathematically-Intensive Application
117,0.0,0,0,6,0,0,0,395,1.0,1.0,299.25,9258,C++,Unified Process and its variants,Mathematically-Intensive Application
118,0.0,0,0,5,0,0,0,482,1.0,1.0,305.85,11244,CSP,Unified Process and its variants,Business Application
119,0.0,0,0,11,0,0,0,358,1.0,1.0,294.25,8520,CSP,Unified Process and its variants,Infrastructure Software
120,0.0,0,0,11,0,0,0,334,1.0,1.0,316.85,7966,Oracle,Multifunctional Teams,Infrastructure Software
121,0.0,0,0,2,0,0,0,235,1.0,1.0,372.45,5472,DELPHI,Personal Software Process (PSP),Real-Time application
122,0.0,0,0,11,0,0,0,317,1.0,1.0,294.0,7573,C++,Rapid Application Development,Real-Time application
123,0.0,0,0,8,0,0,0,374,1.0,1.0,338.2,8820,CSP,Rapid Application Development,Real-Time application
124,0.0,0,0,11,0,0,0,416,1.0,1.0,351.4,9859,CSP,Personal Software Process (PSP),Business Application
125,0.0,0,0,2,0,0,0,511,1.0,1.0,297.0,11844,.Net,Personal Software Process (PSP),Business Application
126,0.0,0,0,6,0,0,0,272,1.0,1.0,382.15,6419,XML,Multifunctional Teams,Real-Time Application
127,0.0,0,0,12,0,0,0,236,1.0,1.0,296.35,5726,XML,Rapid Application Development,Real-Time application
128,0.0,0,0,12,0,0,0,423,1.0,1.0,289.1,10043,Java,Multifunctional Teams,Real-Time application
129,0.0,0,0,0,0,0,0,278,1.0,1.0,298.1,6419,C#,Incremental,Real-Time application
130,0.0,0,0,13,0,0,0,315,1.0,1.0,308.65,7573,Java,Multifunctional Teams,Infrastructure Software
131,0.0,0,0,11,0,0,0,371,1.0,1.0,340.7,8820,Visual Basic,Waterfall,Business Application
132,0.0,0,0,2,0,0,0,648,1.0,1.0,289.55,15007,Visual Basic,Incremental,Infrastructure Software
133,0.0,0,0,0,0,0,0,333,1.0,1.0,288.9,7688,Java,Rapid Application Development (RAD),Real-Time Application
134,0.0,0,0,15,0,0,0,422,1.0,1.0,355.95,10090,PowerBuilder,Waterfall,Mathematically-Intensive Application
135,0.0,0,0,11,0,0,0,394,1.0,1.0,297.0,9351,.Net,Rapid Application Development,Business Application
136,0.0,0,0,8,0,0,0,385,1.0,1.0,382.15,9074,Java,Incremental,Infrastructure Software
137,0.0,0,0,8,0,0,0,533,1.0,1.0,311.6,12491,CSP,Waterfall,Infrastructure Software
138,0.0,0,0,18,0,0,0,283,1.0,1.0,382.15,6950,SQL,Incremental,Mathematically-Intensive Application
139,0.0,0,0,16,0,0,0,479,1.0,1.0,372.55,11429,DELPHI,Rapid Application Development (RAD),Mathematically-Intensive Application
140,0.0,0,0,16,0,0,0,446,1.0,1.0,347.1,10667,.Net,Personal Software Process (PSP),Mathematically-Intensive Application
141,0.0,0,0,15,0,0,0,405,1.0,1.0,289.55,9697,CSP,Rapid Application Development (RAD),Infrastructure Software
142,0.0,0,0,12,0,0,0,230,1.0,1.0,293.25,5587,SQL,Unified Process and its variants,Business Application
143,0.0,0,0,9,0,0,0,360,1.0,1.0,293.15,8520,ASP,Waterfall,Infrastructure Software
144,0.0,0,0,6,0,0,0,352,1.0,1.0,293.65,8266,XML,Rapid Application Development (RAD),Infrastructure Software
145,0.0,0,0,14,0,0,0,385,1.0,1.0,303.1,9212,CSP,Unified Process and its variants,Business Application
146,0.0,0,0,12,0,0,0,427,1.0,1.0,297.2,10136,C++,Incremental,Mathematically-Intensive Application
147,0.0,0,0,6,0,0,0,464,1.0,1.0,368.25,10852,C++,Personal Software Process (PSP),Infrastructure Software
148,0.0,0,0,15,0,0,0,330,1.0,1.0,312.0,7966,DELPHI,Waterfall,Business Application
149,0.0,0,0,7,0,0,0,300,1.0,1.0,308.0,7088,SQL,Rapid Application Development (RAD),Infrastructure Software
150,0.0,0,0,15,0,0,0,330,1.0,1.0,305.85,7966,DELPHI,Rapid Application Development,Business Application
151,0.0,0,0,0,0,0,0,373,1.0,1.0,355.55,8612,Java,Incremental,Infrastructure Software
152,0.0,0,0,14,0,0,0,254,1.0,1.0,387.9,6188,C++,Incremental,Infrastructure Software
153,0.0,0,0,9,0,0,0,523,1.0,1.0,372.45,12283,Java,Personal Software Process (PSP),Real-Time Application
154,0.0,0,0,9,0,0,0,489,1.0,1.0,301.75,11498,XML,Rapid Application Development (RAD),Business Application
155,0.0,0,0,14,0,0,0,395,1.0,1.0,320.8,9443,Java,Personal Software Process (PSP),Real-Time application
156,0.0,0,0,5,0,0,0,257,1.0,1.0,298.1,6049,.Net,Personal Software Process (PSP),Real-Time Application
157,0.0,0,0,13,0,0,0,326,1.0,1.0,372.45,7827,XML,Rapid Application Development,Infrastructure Software
158,0.0,0,0,8,0,0,0,403,1.0,1.0,290.0,9489,Java,Multifunctional Teams,Business Application
159,0.0,0,0,13,0,0,0,474,1.0,1.0,370.3,11244,SQL,Rapid Application Development (RAD),Real-Time Application
160,0.0,0,0,7,0,0,0,418,1.0,1.0,294.1,9813,Java,Multifunctional Teams,Business Application
161,0.0,0,0,14,0,0,0,336,1.0,1.0,398.5,8081,SQL,Rapid Application Development (RAD),Real-Time application
162,0.0,0,0,7,0,0,0,347,1.0,1.0,340.7,8173,CSP,Rapid Application Development,Infrastructure Software
163,0.0,0,0,7,0,0,0,331,1.0,1.0,303.1,7804,C++,Personal Software Process (PSP),Mathematically-Intensive Application
164,0.0,0,0,3,0,0,0,442,1.0,1.0,321.65,10274,Java,Personal Software Process (PSP),Business Application
165,0.0,0,0,5,0,0,0,343,1.0,1.0,302.55,8035,C++,Incremental,Infrastructure Software
166,0.0,0,0,12,0,0,0,488,1.0,1.0,372.45,11544,PowerBuilder,Unified Process and its variants,Real-Time Application
167,0.0,0,0,13,0,0,0,356,1.0,1.0,340.7,8520,Oracle,Rapid Application Development,Mathematically-Intensive Application
168,0.0,0,0,10,0,0,0,351,1.0,1.0,340.45,8335,Java,Multifunctional Teams,Infrastructure Software
169,0.0,0,0,7,0,0,0,284,1.0,1.0,299.65,6719,Visual Basic,Waterfall,Mathematically-Intensive Application
170,0.0,0,0,11,0,0,0,423,1.0,1.0,352.0,10020,XML,Waterfall,Real-Time application
171,0.0,0,0,13,0,0,0,370,1.0,1.0,305.85,8843,C#,Unified Process and its variants,Real-Time application
172,0.0,0,0,14,0,0,0,356,1.0,1.0,318.0,8543,PowerBuilder,Multifunctional Teams,Real-Time application
173,0.0,0,0,11,0,0,0,308,1.0,1.0,297.2,7365,XML,Multifunctional Teams,Infrastructure Software
174,0.0,0,0,21,0,0,0,379,1.0,1.0,316.85,9235,Java,Rapid Application Development (RAD),Real-Time Application
175,0.0,0,0,10,0,0,0,469,1.0,1.0,301.75,11059,C++,Incremental,Real-Time application
176,0.0,0,0,20,0,0,0,345,1.0,1.0,293.8,8427,Java,Rapid Application Development (RAD),Business Application
177,0.0,0,0,5,0,0,0,501,1.0,1.0,318.0,11683,.Net,Rapid Application Development,Business Application
178,0.0,0,0,5,0,0,0,343,1.0,1.0,339.35,8035,CSP,Waterfall,Infrastructure Software
179,0.0,0,0,13,0,0,0,317,1.0,1.0,338.2,7619,.Net,Multifunctional Teams,Real-Time application
180,0.0,0,0,12,0,0,0,319,1.0,1.0,298.1,7642,DELPHI,Waterfall,Real-Time application
181,0.0,0,0,11,0,0,0,573,1.0,1.0,320.0,13484,ASP,Waterfall,Real-Time application
182,0.0,0,0,10,0,0,0,551,1.0,1.0,330.0,12953,CSP,Unified Process and its variants,Business Application
183,0.0,0,0,17,0,0,0,303,1.0,1.0,288.9,7388,C#,Incremental,Business Application
184,0.0,0,0,19,0,0,0,347,1.0,1.0,288.9,8450,ASP,Rapid Application Development (RAD),Infrastructure Software
185,0.0,0,0,14,0,0,0,513,1.0,1.0,367.5,12168,XML,Personal Software Process (PSP),Real-Time Application
186,0.0,0,0,8,0,0,0,308,1.0,1.0,365.15,7296,SQL,Personal Software Process (PSP),Real-Time Application
187,0.0,0,0,19,0,0,0,452,1.0,1.0,292.8,10875,Oracle,Rapid Application Development,Real-Time application
188,0.0,0,0,10,0,0,0,303,1.0,1.0,318.0,7227,DELPHI,Personal Software Process (PSP),Real-Time application
189,0.0,0,0,12,0,0,0,403,1.0,1.0,303.1,9582,PowerBuilder,Waterfall,Mathematically-Intensive Application
190,0.0,0,0,22,0,0,0,389,1.0,1.0,297.2,9489,CSP,Unified Process and its variants,Real-Time Application
191,0.0,0,0,14,0,0,0,288,1.0,1.0,376.6,6973,XML,Unified Process and its variants,Real-Time Application
192,0.0,0,0,10,0,0,0,512,1.0,1.0,338.2,12052,Java,Personal Software Process (PSP),Infrastructure Software
193,0.0,0,0,12,0,0,0,381,1.0,1.0,290.0,9074,ASP,Incremental,Mathematically-Intensive Application
194,0.0,0,0,12,0,0,0,210,1.0,1.0,320.0,5126,CSP,Unified Process and its variants,Real-Time Application
195,0.0,0,0,8,0,0,0,387,1.0,1.0,334.5,9120,.Net,Multifunctional Teams,Infrastructure Software
196,0.0,0,0,9,0,0,0,317,1.0,1.0,308.65,7527,.Net,Incremental,Real-Time application
197,0.0,0,0,15,0,0,0,254,1.0,1.0,371.35,6211,Oracle,Personal Software Process (PSP),Infrastructure Software
198,0.0,0,0,12,0,0,0,413,1.0,1.0,340.1,9813,ASP,Unified Process and its variants,Infrastructure Software
199,0.0,0,0,10,0,0,0,415,1.0,1.0,293.8,9813,ASP,Incremental,Real-Time application
200,0.0,0,0,3,0,0,0,506,1.0,1.0,387.9,11752,ASP,Unified Process and its variants,Business Application
201,0.0,0,0,19,0,0,0,373,1.0,1.0,294.0,9051,Visual Basic,Rapid Application Development (RAD),Infrastructure Software
202,0.0,0,0,7,0,0,0,232,1.0,1.0,340.1,5518,ASP,Waterfall,Real-Time application
203,0.0,0,0,9,0,0,0,295,1.0,1.0,293.15,7019,DELPHI,Rapid Application Development,Business Application
204,0.0,0,0,12,0,0,0,500,1.0,1.0,358.3,11821,.Net,Personal Software Process (PSP),Business Application
205,0.0,0,0,11,0,0,0,346,1.0,1.0,294.0,8243,PowerBuilder,Personal Software Process (PSP),Infrastructure Software
206,0.0,0,0,14,0,0,0,408,1.0,1.0,382.15,9743,CSP,Unified Process and its variants,Real-Time application
207,0.0,0,0,14,0,0,0,276,1.0,1.0,296.35,6696,Java,Rapid Application Development (RAD),Infrastructure Software
208,0.0,0,0,12,0,0,0,359,1.0,1.0,301.75,8566,XML,Incremental,Real-Time application
209,0.0,0,0,18,0,0,0,189,1.0,1.0,294.0,4779,XML,Waterfall,Business Application
210,0.0,0,0,21,0,0,0,400,1.0,1.0,339.35,9720,C#,Waterfall,Business Application
211,0.0,0,0,12,0,0,0,425,1.0,1.0,338.05,10090,.Net,Unified Process and its variants,Business Application
212,0.0,0,0,1,0,0,0,451,1.0,1.0,301.75,10436,Java,Rapid Application Development (RAD),Mathematically-Intensive Application
213,0.0,0,0,5,0,0,0,382,1.0,1.0,289.55,8935,Oracle,Personal Software Process (PSP),Real-Time application
214,0.0,0,0,14,0,0,0,405,1.0,1.0,320.6,9674,C++,Rapid Application Development (RAD),Real-Time Application
215,0.0,0,0,16,0,0,0,485,1.0,1.0,352.2,11567,XML,Rapid Application Development (RAD),Business Application
216,0.0,0,0,6,0,0,0,336,1.0,1.0,289.55,7896,.Net,Incremental,Real-Time Application
217,0.0,0,0,18,0,0,0,351,1.0,1.0,290.0,8520,C,Waterfall,Real-Time application
218,0.0,0,0,10,0,0,0,252,1.0,1.0,289.55,6049,Visual Basic,Rapid Application Development,Real-Time application
219,0.0,0,0,14,0,0,0,353,1.0,1.0,294.0,8473,PowerBuilder,Rapid Application Development,Mathematically-Intensive Application
220,0.0,0,0,6,0,0,0,647,1.0,1.0,320.8,15077,.Net,Personal Software Process (PSP),Mathematically-Intensive Application
221,0.0,0,0,18,0,0,0,480,1.0,1.0,338.2,11498,Oracle,Waterfall,Real-Time application
222,0.0,0,0,9,0,0,0,371,1.0,1.0,339.35,8774,SQL,Rapid Application Development,Business Application
223,0.0,0,0,11,0,0,0,313,1.0,1.0,289.55,7481,C,Incremental,Real-Time application
224,0.0,0,0,14,0,0,0,477,1.0,1.0,339.35,11336,Visual Basic,Waterfall,Business Application
225,0.0,0,0,14,0,0,0,250,1.0,1.0,293.25,6095,C++,Personal Software Process (PSP),Infrastructure Software
226,0.0,0,0,12,0,0,0,424,1.0,1.0,355.95,10067,SQL,Rapid Application Development,Infrastructure Software
227,0.0,0,0,10,0,0,0,463,1.0,1.0,340.1,10921,C#,Incremental,Infrastructure Software
228,0.0,0,0,7,0,0,0,459,1.0,1.0,308.0,10759,Oracle,Rapid Application Development (RAD),Real-Time application
229,0.0,0,0,4,0,0,0,359,1.0,1.0,367.5,8381,.Net,Multifunctional Teams,Mathematically-Intensive Application
230,0.0,0,0,3,0,0,0,363,1.0,1.0,338.05,8450,.Net,Waterfall,Mathematically-Intensive Application
231,0.0,0,0,17,0,0,0,352,1.0,1.0,294.0,8520,C++,Unified Process and its variants,Business Application
232,0.0,0,0,10,0,0,0,385,1.0,1.0,293.8,9120,ASP,Waterfall,Real-Time Application
233,0.0,0,0,16,0,0,0,420,1.0,1.0,320.0,10067,ASP,Multifunctional Teams,Real-Time application
234,0.0,0,0,7,0,0,0,466,1.0,1.0,336.25,10921,SQL,Incremental,Mathematically-Intensive Application
235,0.0,0,0,4,0,0,0,384,1.0,1.0,301.2,8958,DELPHI,Incremental,Infrastructure Software
236,0.0,0,0,10,0,0,0,380,1.0,1.0,293.65,9004,C,Multifunctional Teams,Business Application
237,0.0,0,0,17,0,0,0,487,1.0,1.0,372.55,11637,ASP,Incremental,Mathematically-Intensive Application
238,0.0,0,0,9,0,0,0,497,1.0,1.0,293.8,11683,Oracle,Rapid Application Development,Infrastructure Software
239,0.0,0,0,17,0,0,0,359,1.0,1.0,299.25,8681,CSP,Rapid Application Development (RAD),Infrastructure Software
240,0.0,0,0,12,0,0,0,398,1.0,1.0,396.75,9466,CSP,Unified Process and its variants,Infrastructure Software
241,0.0,0,0,18,0,0,0,354,1.0,1.0,311.6,8589,Java,Personal Software Process (PSP),Real-Time Application
242,0.0,0,0,8,0,0,0,391,1.0,1.0,299.25,9212,.Net,Multifunctional Teams,Infrastructure Software
243,0.0,0,0,5,0,0,0,418,1.0,1.0,293.8,9766,PowerBuilder,Incremental,Real-Time application
244,0.0,0,0,5,0,0,0,252,1.0,1.0,323.7,5934,Java,Incremental,Mathematically-Intensive Application
245,0.0,0,0,11,0,0,0,373,1.0,1.0,299.65,8866,PowerBuilder,Incremental,Infrastructure Software
246,0.0,0,0,3,0,0,0,477,1.0,1.0,355.55,11082,XML,Rapid Application Development,Real-Time application
247,0.0,0,0,13,0,0,0,310,1.0,1.0,318.0,7458,PowerBuilder,Incremental,Mathematically-Intensive Application
248,0.0,0,0,12,0,0,0,510,1.0,1.0,312.0,12052,XML,Incremental,Mathematically-Intensive Application
249,0.0,0,0,9,0,0,0,378,1.0,1.0,340.1,8935,DELPHI,Incremental,Real-Time Application
250,0.0,0,0,6,0,0,0,323,1.0,1.0,311.6,7596,DELPHI,Unified Process and its variants,Business Application
251,0.0,0,0,15,0,0,0,422,1.0,1.0,294.25,10090,SQL,Incremental,Infrastructure Software
252,0.0,0,0,4,0,0,0,451,1.0,1.0,320.6,10505,Oracle,Incremental,Mathematically-Intensive Application
253,0.0,0,0,3,0,0,0,514,1.0,1.0,298.1,11937,Visual Basic,Personal Software Process (PSP),Mathematically-Intensive Application
254,0.0,0,0,13,0,0,0,368,1.0,1.0,302.55,8797,Java,Unified Process and its variants,Real-Time Application
255,0.0,0,0,10,0,0,0,416,1.0,1.0,293.65,9836,SQL,Rapid Application Development (RAD),Real-Time Application
256,0.0,0,0,6,0,0,0,422,1.0,1.0,372.55,9882,C#,Rapid Application Development,Mathematically-Intensive Application
257,0.0,0,0,7,0,0,0,362,1.0,1.0,303.1,8520,XML,Rapid Application Development,Real-Time application
