recordnumber,projectname,cat2,forg,center,year,mode,rely,data,cplx,time,stor,virt,turn,acap,aexp,pcap,vexp,lexp,modp,tool,sced,equivphyskloc,act_effort
82,hst,Avionics,f,2,1980,embedded,1.15,1.15,1.15,1.4,1.65,1.15,1.15,1.15,1.15,1.15,1.15,1.15,1.15,1.0,1.0,53.0,480
84,spl,Avionics,f,3,1977,embedded,1.15,0.7,1.4,1.4,1.65,0.7,1.0,1.4,1.4,1.4,0.5,0.5,1.15,1.15,1.0,41.0,599
89,spl,Avionics,f,3,1977,embedded,1.15,0.7,1.4,1.4,1.65,0.7,1.0,1.4,1.4,1.4,0.5,0.5,1.15,1.15,1.0,24.0,430
91,Y,Avionics,f,5,1977,embedded,1.4,1.15,1.4,1.65,1.65,1.0,1.0,1.15,1.15,1.15,1.15,1.15,1.15,1.0,1.15,165.0,41782
92,Y,science,f,5,1977,embedded,1.4,1.15,1.4,1.65,1.65,1.0,1.0,1.15,1.15,1.15,1.15,1.15,1.15,1.0,1.15,65.0,17725
93,Y,Avionics,f,5,1977,embedded,1.4,1.15,1.4,1.65,1.65,1.0,0.7,1.15,1.15,1.15,1.15,1.15,1.15,1.0,1.15,70.0,16459
94,Y,Avionics,f,5,1977,embedded,1.4,1.15,1.65,1.65,1.65,1.0,1.0,1.15,1.15,1.15,1.15,1.15,1.15,1.0,1.15,50.0,19245
97,gal,Avionics,f,5,1982,embedded,1.4,0.7,1.4,1.4,1.65,0.7,0.7,1.15,0.7,1.0,0.5,0.7,0.7,1.15,1.15,725.0,648
98,Y,Avionics,f,5,1980,embedded,1.4,1.15,1.4,1.65,1.65,1.0,1.0,1.15,1.15,1.15,1.15,1.15,1.15,1.0,1.15,233.0,8211
99,X,Avionics,f,2,1983,embedded,1.15,1.0,1.4,1.4,1.4,1.15,1.15,1.0,1.0,1.0,0.7,0.7,1.0,1.0,1.15,163.0,480
100,X,Avionics,f,2,1983,embedded,1.15,1.0,1.4,1.4,1.4,1.15,1.15,1.0,1.0,1.0,0.7,0.7,1.0,1.0,1.15,62.0,12
101,X,science,f,2,1983,embedded,1.15,1.0,1.4,1.4,1.4,1.15,1.15,1.0,1.0,1.0,0.7,0.7,1.0,1.0,1.15,3.0,38
34,X,avionicsmonitoring,g,2,1987,semidetached,0.8275638442043631,1.17378400802635,1.045966586868115,1.3505028475246286,1.6288059357109144,0.8403860337167268,0.7738788609776988,1.3589261732923097,1.30416161654188,1.2092394348505364,0.9310124994984712,0.5733926987567466,1.3803785418190846,1.3995284030454416,0.8230399179233127,105.80305517791379,6
80,Y,missionplanning,g,5,1984,embedded,1.0790550558082161,1.2222153786009642,0.8972337948171665,1.4063823582364123,1.6047018665826573,1.0003720626590704,1.2356689344548277,1.1347857437457811,1.3748333778418669,1.1134872689743163,0.610442211785418,0.7790939483027717,0.6221651247314781,0.785925955944249,0.7853795196970486,100.81217688772088,6
5,de,avionicsmonitoring,g,2,1979,semidetached,1.1276220600561444,0.8443836299748166,0.768351485394954,1.3553197074875307,1.3851674660509479,1.0475552207100955,0.7348056006259518,1.2241676141486633,0.7077502924094483,1.102791249960843,0.8038834987594741,0.7642260498500707,0.5663573402207246,0.6414147652109348,1.0551064343592864,98.5447859009513,4
12,gal,missionplanning,g,1,1980,semidetached,1.0313424989435949,1.1660461397999458,1.0422317418185663,1.3089219963700232,1.1230262456288589,0.7870443655089014,1.034547680024589,1.2217476154723423,0.7005795111105563,1.2957128323319784,0.570411756373149,1.0145178749124133,1.0020298724295127,1.3811272337442873,1.0066622664910447,97.29459408203238,6
13,gal,missionplanning,g,1,1985,semidetached,0.8841096908731079,0.9448849737105248,1.2294587370733594,1.389853617310464,1.5078570970837197,0.9351006840288426,1.2204815715537434,1.2418227105230883,0.8405703266595032,1.0954657475674066,0.6155471970809712,0.8509369619469169,1.0446998230762192,0.7050322533333764,1.0135104331569276,118.09908094773158,6
9,gal,missionplanning,g,1,1980,semidetached,1.1599983600160801,0.83315917220331,1.1365570689169653,1.610630659058459,1.2040896563218455,1.084780929827657,0.9739524656457748,1.3120687053645044,1.39418942337929,1.2890284018073415,0.6102164737317327,0.7675163254401625,0.959263779407421,0.5639941438880883,0.7471020297383109,75.91912383126821,5
68,Y,avionicsmonitoring,g,5,1983,organic,0.9160798101487333,1.1547419251222284,1.0037515846144192,1.3456653296542247,1.6103411893267414,0.9022782150856388,1.2626063115221835,1.1584732336864456,0.7386215059117825,1.2073045339481308,0.7267502397056165,0.991821456593108,1.3805569585429582,1.2009016359288391,0.9533996659126662,251.01046329079543,7
100,X,Avionics,f,2,1983,embedded,0.7570881090100241,0.7826322242514079,1.4290912770880166,1.5701528401089728,1.4078335161657314,1.1144561317368373,1.370166810417535,1.3843624661915959,1.157160289218798,1.0456523726413616,0.7504492523786898,0.6448154554513237,1.0802540517189294,1.205160106633699,0.9564309470234592,61.38305038383611,6
56,spl,datacapture,g,2,1979,semidetached,1.1063687482482512,1.2141497461337412,0.7398276248909055,1.2363289689660608,1.5969562795685257,1.0088847130378362,0.9012339373585383,1.0247579126069521,1.0403240589848735,1.2691977393435554,0.6833835438654677,1.1435519322344685,0.7090030695425035,1.3608706927549885,0.7073788645178051,233.14467219017754,6
57,spl,batchdataprocessing,g,2,1977,semidetached,1.0212418891237565,1.3196729420887663,1.441007947370603,1.4339813845391705,1.2875761612805878,0.7786676945392961,1.0578930850426322,1.141555811030322,1.0900984366170656,1.273944374686528,1.0550252396622781,0.9917250353940826,1.296767433806899,1.3875556971796887,0.76564053216172,73.18504560078124,7
64,Y,avionicsmonitoring,g,5,1980,organic,0.9429959787656709,1.0774906176870105,1.121866551031674,1.6263220586764153,1.4066768932960962,0.9748505107724269,0.8804594538001261,1.374313620314143,1.110240621340829,1.0947710823803773,0.8422337048108617,0.7600578552188625,0.5957258201054585,0.5637839874879147,0.8499919120507649,41.73714024600015,4
30,X,communications,g,2,1982,semidetached,0.9449436450947675,1.0784862031330524,1.0506875112574157,1.4348337116805807,1.2668335076114983,1.0081951633606396,0.9466386963543113,1.1398725637909808,0.7167459158646945,1.2193519801109716,0.7029863004187324,0.9877256518597533,1.2394854938116477,0.5080487574814833,0.994041042818201,132.0802088301426,5
79,Y,missionplanning,g,5,1984,embedded,1.0927383847718035,0.7155590896099703,1.0567148531169217,1.379624086887989,1.5994942813301167,1.109291887407166,0.9041710798992282,1.230460603310677,1.3529553112875266,1.1028010741082919,0.587591209131228,0.6913362617989718,0.5218418453084163,0.6974205392102895,1.104217902381148,58.887188484015354,4
65,Y,avionicsmonitoring,g,5,1979,embedded,0.7552698347485008,1.1356586291961308,1.4165525844674756,1.4256016426830402,1.1501110257742362,1.1467315426046216,0.7918430991740932,1.309524095433812,1.2084645995179153,1.2456698037406406,0.5382384758022101,0.9480802019493224,0.548924183848188,1.1806037108408094,1.0821335152464282,134.88366503374849,6
53,Y,missionplanning,g,5,1979,semidetached,1.0322544670971228,1.249972496738431,1.474012314992029,1.5586830710170534,1.1873787117219738,0.8657037847208069,1.0532544530325978,1.347942416585593,1.3389086688545464,1.1095913656654055,0.6839670881085684,0.6768281553201153,0.9757938364252886,1.0904494091354864,0.8173945746717145,105.01970732616189,6
46,Y,avionicsmonitoring,g,5,1977,semidetached,1.3081365900542736,1.2368118357082865,1.5661018300821983,1.205812348292835,1.1904428393124515,1.0134000785324329,1.250926934773687,1.2714106205673033,0.9966834946140493,1.251618518560562,0.6157274187760754,0.5111423059447379,1.3677056127943354,0.8245063233742357,0.9826695496188675,442.3160505127575,8
27,X,realdataprocessing,g,2,1982,semidetached,0.8397475198743642,0.9716946653659264,1.3047108876432827,1.114425369372869,1.4737388873799209,0.7013262827400987,1.378250639467099,1.1866547183144964,0.8671067342009173,1.2665659803609515,0.8812380067254513,0.7476935927001248,1.1178584999426786,1.3104619620772147,0.7543691853973635,159.50402280424478,6
84,spl,Avionics,f,3,1977,embedded,1.1463974732968691,1.130942915280707,1.1198038487539739,1.527556986294627,1.4936144933809823,0.7023929166716866,0.9604011918577757,1.187284283351912,1.3570180689853832,1.2547866332138304,0.6083631612387415,0.5374071113395648,1.2907331007633878,1.1887485711185368,1.1377092695473165,40.69684315451725,6
31,X,batchdataprocessing,g,2,1982,semidetached,1.2675803049940801,1.0290473039032164,1.365165678049367,1.1384903083155486,1.0470325857422982,0.82760184827922,1.0804348571289553,1.0701038711273605,0.9956507685947547,1.2858342879182512,1.0782778452930564,1.0379179733112134,0.5179395487899394,1.097103589174715,1.0028644410219734,330.6077944831592,7
8,erb,avionicsmonitoring,g,2,1982,semidetached,0.8671101033617015,1.3947283818755554,0.9376719112655021,1.456407131480756,1.3104602213376533,1.080149359981177,1.2898739633226457,1.2672219752383391,0.9452866443199404,1.0399862082396232,0.8239871078704581,0.9821139982910769,0.6737483952171778,0.9432278032343677,0.9650026262316685,664.6554746004664,8
41,hst,datacapture,g,2,1980,semidetached,1.008209755036053,1.0319856750228462,1.2152322455118658,1.5007416116838463,1.0422480821616478,1.1292164499347712,0.7305886543510369,1.0966069111151884,1.1779160964128188,1.2856091829906906,0.9782417956538476,0.8879087483829238,0.8676170268348122,1.3472343058690517,0.7096224413994784,1780.8450097457576,9
39,X,monitor_control,g,2,1986,semidetached,1.3473290005341856,0.7715276416725225,1.603338196152381,1.41815909578979,1.455399289427389,0.7092997195939221,1.2831618125312958,1.3749924275744265,1.3452512175055187,1.1625876951659095,0.5350224683745279,0.8636799889931401,0.7908508219802997,1.133305704839374,0.9612569953226289,7.745146634586179,4
41,hst,datacapture,g,2,1980,semidetached,1.0025224116492728,0.9690261194820929,1.1274500567163206,1.3088681123155175,1.4541906882339137,0.8816361844096573,1.2192927445801383,1.2932615876609403,1.1362258645300187,1.3578592173796484,0.9637310568600667,1.0616854328369558,0.5642455937280231,1.0484494525534729,1.1308616298348895,1818.6839142740387,9
27,X,realdataprocessing,g,2,1982,semidetached,1.0758450723169568,1.323433928978113,1.5998837504077388,1.2514803967187964,1.3807385693055148,1.081119938456364,1.3009627887239033,1.320643659377535,1.067395848213375,1.2179308917288114,0.9283011434136487,0.8704749362658415,0.5197706173677602,0.5897232170591838,1.1137242574251913,161.14715216351343,7
55,Y,utility,g,5,1979,semidetached,0.9118953327031031,1.3337958383441184,1.632253737871892,1.4934433307887138,1.6291160643636045,1.0653992547654476,1.3735599733814339,1.1694758373178902,1.2337272924378058,1.1749932361260123,0.579726968537799,0.866322503223132,1.0668914315434657,0.7619339352101182,1.077773206193289,47.86173125676687,6
14,gal,missionplanning,g,1,1980,semidetached,1.3847436091269365,1.306079422182993,1.6108042791796833,1.546807800081404,1.066067024977678,0.7043779626607067,1.2469175969732769,1.143018998414572,1.3694554424925554,1.2336406231855768,0.5313599383969243,0.6818679622187409,1.0746042963137707,0.8080985597081691,0.7782602198574238,102.60801423582959,6
20,gal,missionplanning,g,1,1984,semidetached,1.1445193425914313,1.2878211643623418,0.7805573743827703,1.6271003032079576,1.4668617121986507,0.7554384203255367,1.002012603398807,1.3926988493440333,1.1583400205779382,1.0612588535267717,1.1495238137573331,0.9753304884400327,0.893128629249746,1.2681419406172147,0.8844826520241301,326.6089046917141,8
70,Y,avionicsmonitoring,g,5,1979,semidetached,1.3953941760848352,0.7630892426205494,1.4057580395567553,1.472409690627355,1.382286306601667,0.981493143710277,1.3821005626575409,1.3853850335665427,1.0600741838660017,1.1361232108045725,0.8618232132280201,1.057841410275513,1.242412320265444,0.7833816034484831,0.8752195432826156,153.59944854608148,7
66,Y,avionicsmonitoring,g,5,1977,embedded,1.0502188068041713,1.187052769898631,1.5536581375699976,1.3502716860348047,1.0063458993931138,0.737852226030525,0.8666609450741394,1.3994893278672762,1.2231038386617001,1.199094996260265,1.135902791573759,0.7080042880893467,0.9182003890106913,1.2742757684268065,1.1000241129258317,151.20381250696073,7
31,X,batchdataprocessing,g,2,1982,semidetached,1.0117462428261188,0.83912658374622,1.4635868435489807,1.156362585330965,1.0308667053536422,0.8120734879031352,1.098036116055193,1.1813777546190445,1.0929092603987973,1.000139533372008,0.9252129625539782,0.6353129862906899,0.8957153346766425,1.2595782912311395,0.715490069040321,340.06151352093497,6
38,X,monitor_control,g,2,1986,semidetached,1.244618113072316,1.3193569391407718,1.3399104999954288,1.1581634657214281,1.3589144710139338,0.8581036286874303,1.0217438266879342,1.2495945680294056,1.0414593500364147,1.0203909241619395,0.7036357862141067,1.000280503557795,0.7519643352963612,1.0203103222226222,1.106619550688539,90.89162990897822,6
69,Y,avionicsmonitoring,g,5,1978,semidetached,1.2872881301990138,0.9667952681387506,1.4999383264715487,1.2230976099850448,1.4447221262285752,1.0985352619450304,1.3984559596192914,1.2016589671064921,0.853130026897287,1.310948512616406,1.0284362990847238,0.6413919506491952,1.3626898201958264,0.5209651696337916,1.1043676444496464,140.88849308307942,7
54,Y,missionplanning,g,5,1979,semidetached,1.1328782271309759,0.8488054124707446,1.125913064937437,1.3880089103642286,1.1147375829271609,1.116038642076775,1.1007710332879819,1.3224041356480618,1.2378823730873623,1.1799161483580134,0.9333646518848179,0.6684483244621053,0.9859354816043064,1.3311495039636585,0.761920335446331,216.3920422556576,7
