ID,AFP,Input,Output,Enquiry,File,Interface,Added,Changed,Deleted,PDR_AFP,PDR_UFP,NPDR_AFP,NPDU_UFP,Resource,Dev.Type,Duration,N_effort,Effort,
89,204,47,43,6,29,104,229,0,0,39.8,35.4,39.8,35.4,1,0,36,8111,8111,
90,17,12,5,0,0,0,17,0,0,44.8,44.8,44.8,44.8,1,0,11,762,762,
91,60,10,25,0,31,5,71,0,0,2.3,1.9,2.7,2.3,1,0,1,164,136,
92,73,0,20,36,10,0,56,10,0,4.9,5.4,5.9,6.5,1,0,1,431,358,
93,169,32,14,25,28,70,169,0,0,2.8,2.8,3.4,3.4,1,0,6,580,481,
94,1351,379,449,271,219,20,1173,29,136,2.4,2.4,2.8,2.9,1,0,8,3842,3189,
95,2087,862,444,303,437,0,2046,0,0,10.8,11,10.8,11,4,0,9,22500,22500,
96,253,72,0,107,29,44,252,0,0,46.3,46.3,49.8,49.8,1,0,13,12601,11719,
97,102,37,26,10,29,0,102,0,0,1.8,1.8,2.4,2.4,1,0,5,244,183,
98,115,49,39,0,15,0,53,50,0,12.9,14.4,15.5,17.3,1,0,5,1786,1482,
99,288,18,186,21,15,60,300,0,0,4.3,4.2,4.3,4.2,2,0,11,1251,1251,
100,199,104,7,77,0,0,0,188,0,4.7,5,5.7,6,1,0,8,1136,943,
101,163,49,14,33,49,10,155,0,0,16.5,17.3,19.8,20.9,1,0,11,3234,2684,
102,97,21,41,0,49,15,16,100,10,7.5,5.8,7.5,5.8,2,0,9,729,729,
103,439,82,222,19,85,10,105,313,0,8.3,8.7,8.3,8.7,1,0,7,3630,3630,
104,3113,2019,609,248,157,80,3113,0,0,10.9,10.9,13.5,13.5,1,0,24,42080,34085,
105,153,35,7,57,24,20,143,0,0,18.7,20,21.5,23,2,0,3,3283,2856,
106,670,346,97,122,79,0,146,498,0,8.6,8.9,10.4,10.8,1,0,6,6936,5757,
107,129,19,93,3,10,30,0,155,0,4.9,4.1,4.9,4.1,2,0,15,631,631,
108,329,324,68,14,0,0,206,73,127,6.6,5.4,6.6,5.4,2,0,8,2184,2184,
109,5684,2221,454,820,1137,311,4943,0,0,3.7,4.3,3.7,4.3,1,0,37,21014,21014,
110,61,27,4,24,17,0,72,0,0,6.8,5.8,8.2,7,1,0,4,502,417,
111,267,27,133,51,34,89,70,178,86,10,8,10,8,2,0,9,2683,2683,
112,218,78,16,56,77,0,227,0,0,25.4,24.4,30.6,29.4,1,0,4,6665,5532,
113,919,458,236,56,58,76,884,0,0,5.2,5.4,6.3,6.6,1,0,6,5801,4815,
114,66,27,12,6,14,0,28,31,0,3.7,4.2,4.5,5,1,0,2,296,246,
115,54,36,0,16,0,0,0,52,0,12.7,13.2,15.3,15.9,1,0,1,827,686,
116,245,88,105,27,79,0,299,0,0,1.9,1.6,3.6,2.9,1,0,13,870,470,
117,54,24,28,0,0,0,0,52,0,7.3,7.6,8.8,9.2,1,0,2,476,395,
118,151,40,54,15,21,0,111,19,0,7.2,8.3,8.2,9.5,2,0,3,1241,1080,
119,103,45,4,27,29,0,105,0,0,13.6,13.3,13.6,13.3,2,0,7,1396,1396,
120,300,95,82,27,76,0,138,142,0,9.8,10.5,9.8,10.5,1,0,10,2933,2933,
121,249,126,4,98,21,0,58,191,0,18.3,18.3,18.3,18.3,1,0,9,4551,4551,
122,224,156,21,0,29,10,6,210,0,13.4,13.9,16.1,16.7,1,0,4,3613,2999,
123,1984,255,1008,192,158,0,1613,0,0,1.3,1.6,1.3,1.6,2,0,11,2540,2540,
124,58,15,37,0,0,5,0,57,0,0.4,0.5,0.5,0.5,1,0,2,31,26,
125,56,50,0,3,0,0,0,53,0,8,8.5,9.6,10.2,1,0,2,540,448,
126,244,91,12,44,60,50,257,0,0,3.7,3.5,4.5,4.2,1,0,3,1092,906,
127,12,0,0,6,7,0,10,3,0,17.6,16.2,17.6,16.2,2,0,13,211,211,
128,1416,402,432,0,252,65,376,775,0,1.2,1.5,1.2,1.5,2,0,12,1724,1724,
129,67,3,26,0,7,35,71,0,0,23.6,22.3,27.2,25.6,2,0,5,1821,1584,
130,95,36,0,32,24,0,0,92,0,1.6,1.6,1.9,1.9,1,0,7,178,148,
131,2376,638,233,639,580,131,2221,0,0,10.7,11.5,12.9,13.8,1,0,24,30701,25482,
132,442,225,102,57,91,0,82,393,0,1.5,1.4,1.5,1.4,1,0,5,683,683,
133,68,21,12,19,15,0,11,56,0,37.1,37.6,44.7,45.3,1,0,4,3037,2521,
134,268,76,96,45,41,10,248,20,0,10.9,10.9,10.9,10.9,2,0,9,2933,2933,
135,90,96,0,0,0,0,96,0,0,5.5,5.1,6.6,6.2,1,0,2,595,494,
136,72,23,25,7,17,0,55,17,0,6.8,6.8,6.8,6.8,1,0,7,486,486,
137,505,111,127,18,216,0,472,0,0,9.8,10.5,9.8,10.5,1,0,30,4955,4955,
138,450,112,145,59,105,0,356,58,7,13.6,14.6,13.6,14.6,1,0,7,6138,6138,
139,230,129,38,46,57,0,230,40,0,6.3,5.4,7.6,6.5,1,0,10,1748,1451,
140,242,97,78,4,43,0,0,222,0,1.3,1.4,1.5,1.7,1,0,2,375,311,
141,106,21,76,6,0,0,7,96,0,23.1,23.7,27.8,28.6,1,0,2,2946,2445,
142,31,10,14,0,7,0,4,27,0,7.6,7.6,7.6,7.6,1,0,6,237,237,
143,1186,422,306,109,168,230,1235,0,0,3.1,3,3.1,3,3,0,9,3711,3711,
144,256,69,198,0,0,5,272,0,0,11.5,10.8,11.5,10.8,2,0,19,2941,2941,
145,191,44,60,15,49,25,159,34,0,12.7,12.6,12.7,12.6,2,0,11,2430,2430,
146,213,102,63,6,28,0,186,13,0,11.9,12.7,14.3,15.3,1,0,10,3051,2532,
147,4562,1098,1278,498,1059,0,3933,0,0,5.8,6.7,5.8,6.7,1,0,15,26408,26408,
148,141,44,33,44,17,0,5,133,0,8.8,9,10.6,10.9,1,0,2,1499,1244,
149,187,23,65,17,91,5,201,0,0,3,2.8,3.6,3.4,1,0,6,677,562,
150,128,45,0,68,0,15,128,0,0,25.8,25.8,56.1,56.1,1,0,10,7180,3303,
151,194,70,16,0,45,47,46,132,0,2.6,2.8,3.6,3.9,1,0,12,703,499,
152,869,288,300,116,230,0,934,0,0,2.4,2.2,2.4,2.2,3,0,6,2078,2078,
153,125,51,9,33,22,0,20,84,11,18.6,20.2,22.4,24.4,1,0,3,2802,2326,
154,477,235,117,89,46,10,172,218,107,5.7,5.5,5.7,5.5,1,0,6,2741,2741,
155,717,716,13,10,24,0,51,712,0,4.9,4.6,6,5.6,1,0,5,4272,3546,
156,25,0,28,0,0,0,0,28,0,5.6,5,5.6,5,1,0,3,140,140,
157,73,9,61,3,0,0,73,0,0,19.2,19.2,19.2,19.2,1,0,8,1404,1404,
158,100,61,0,0,0,42,28,75,0,9.3,9,11.2,10.9,1,0,12,1119,929,
159,273,103,183,15,17,0,318,0,0,1.9,1.7,1.9,1.7,3,0,5,528,528,
160,587,108,119,94,203,0,524,0,0,6.4,7.2,6.4,7.2,3,0,15,3748,3748,
161,1437,920,154,41,203,0,1318,0,0,3.4,3.7,3.4,3.7,4,0,18,4900,4900,
162,97,3,101,3,0,7,108,6,0,19.1,16.3,19.1,16.3,2,0,12,1853,1853,
163,224,110,25,6,49,5,195,0,0,12.9,14.8,14.8,17,2,0,13,3322,2890,
164,321,168,46,9,77,15,315,0,0,3.4,3.4,3.4,3.4,4,0,11,1076,1076,
165,99,6,4,19,59,10,98,0,0,24.1,24.4,29.1,29.3,1,0,4,2876,2387,
166,416,179,40,54,109,7,318,65,6,3.8,4.1,4.6,4.9,1,0,6,1911,1586,
167,71,21,21,4,14,5,25,40,0,14,15.3,16.9,18.5,1,0,4,1201,997,
168,120,60,48,12,0,0,12,108,0,1.8,1.8,1.8,1.8,1,0,5,212,212,
169,213,72,43,3,84,30,132,97,3,6,5.5,6,5.5,2,0,12,1278,1278,
170,1634,625,387,223,399,0,1634,0,0,4.3,4.3,4.3,4.3,2,0,12,7060,7060,
171,275,184,11,48,7,0,7,243,0,2.6,2.8,2.6,2.8,1,0,9,702,702,
172,458,202,66,75,115,0,458,0,0,2,2,2,2,1,0,16,903,903,
173,218,28,118,44,0,10,91,109,0,31,33.8,37.4,40.8,1,0,8,8151,6765,
174,498,107,132,7,77,122,445,0,0,16.5,18.5,16.5,18.5,3,0,19,8227,8227,
175,143,54,65,0,14,0,11,122,0,2.3,2.5,2.8,3,1,0,4,402,334,
176,722,163,0,202,237,20,622,0,0,5.8,6.7,5.8,6.7,1,0,9,4164,4164,
177,236,27,192,12,37,0,268,0,0,29,25.5,29,25.5,2,0,15,6844,6844,
178,239,39,70,18,62,55,244,0,0,6.9,6.8,6.9,6.8,2,0,10,1661,1661,
179,1882,711,589,218,442,0,1960,0,0,3.2,3.1,3.2,3.1,2,0,10,6068,6068,
180,291,188,29,0,69,37,323,0,0,20.8,18.8,22.4,20.2,2,0,14,6519,6063,
181,328,124,71,61,66,0,322,0,0,2,2.1,2,2.1,1,0,13,665,665,
182,264,126,7,50,84,0,267,0,0,2.1,2,2.1,2,1,0,6,544,544,
183,270,54,42,53,91,30,270,0,0,3.3,3.3,3.3,3.3,1,0,6,893,893,
184,32,0,7,12,0,10,29,0,0,11,12.1,11,12.1,1,0,2.5,352,352,
185,1382,353,245,7,581,253,1439,0,0,2.4,2.3,2.4,2.3,4,0,8,3344,3344,
186,98,45,5,19,28,0,94,3,0,4.1,4.2,5,5,1,0,1,487,404,
187,289,3,100,0,66,145,314,0,0,19.8,18.3,19.8,18.3,2,0,8,5732,5732,
188,1059,299,234,144,217,60,954,0,0,21.6,24,24.9,27.6,2,0,17,26345,22920,
189,724,331,12,189,164,0,530,142,24,13,13.5,15.7,16.3,1,0,9,11336,9409,
190,40,10,22,0,17,0,49,0,0,7.1,5.8,7.1,5.8,4,0,4,285,285,
191,128,72,18,24,7,0,4,117,0,10.1,10.7,12.2,12.9,1,0,3,1558,1293,
192,1248,249,262,146,423,15,1095,0,0,12.2,13.8,12.2,13.8,4,0,12,15165,15165,
193,387,109,118,67,90,7,391,0,0,8.5,8.4,10.2,10.1,1,0,17,3960,3287,
194,73,0,65,0,0,5,19,44,7,10.5,10.9,12.6,13.1,1,0,3,920,764,
195,151,22,0,68,47,0,32,105,0,14.5,16,17.5,19.3,1,0,3,2643,2194,
196,465,48,162,0,196,37,443,0,0,4.3,4.5,5.2,5.5,1,0,4,2427,2014,
197,63,29,0,9,24,0,62,0,0,13.1,13.3,15.8,16.1,1,0,4,996,827,
198,226,88,70,19,28,0,92,106,7,11.1,12.2,11.1,12.2,1,0,10,2508,2508,
199,115,76,11,28,0,0,10,105,0,1.7,1.7,1.7,1.7,1,0,1.5,201,201,
200,189,39,112,3,28,0,0,182,0,3,3.1,3,3.1,2,0,15,563,563,
201,55,52,0,6,0,0,58,0,0,9.7,9.2,11.7,11.1,1,0,11,643,534,
202,85,12,44,0,24,0,12,68,0,12.2,13,14.7,15.7,1,0,4,1252,1039,
203,2143,219,657,3,485,437,1801,0,0,20.2,24,24.3,29,1,0,7,52172,43303,
204,520,181,160,9,55,25,430,0,0,6,7.3,6,7.3,2,0,8,3133,3133,
205,113,25,34,16,27,0,38,64,0,15.9,17.7,18.3,20.3,2,0,3,2070,1801,
206,264,85,17,26,133,0,157,98,6,10,10.1,12,12.2,1,0,6,3180,2639,
207,349,162,24,18,112,30,342,4,0,6.8,6.8,6.8,6.8,2,0,4,2360,2360,
208,229,88,5,0,17,131,241,0,0,11,10.5,12.7,12,2,0,5,2897,2520,
209,172,88,40,4,30,7,169,0,0,10.4,10.6,10.4,10.6,4,0,5,1788,1788,
210,323,108,57,53,74,31,323,0,0,3.8,3.8,3.8,3.8,1,0,13,1238,1238,
211,89,15,28,17,7,30,24,73,0,5,4.6,5,4.6,2,0,4,442,442,
212,878,113,404,161,133,17,828,0,0,3.8,4.1,4.3,4.5,1,0,5,3742,3368,
213,220,81,50,51,42,0,224,0,0,1.3,1.3,1.3,1.3,3,0,3,281,281,
214,150,125,4,20,0,0,6,143,0,4.6,4.6,5.5,5.6,1,0,3,828,687,
215,161,60,38,30,41,0,169,0,0,1.4,1.3,1.4,1.3,1,0,2,220,220,
216,804,345,334,0,236,42,957,0,0,14.2,11.9,17.1,14.3,1,0,12,13720,11388,
217,272,63,20,61,71,30,245,0,0,35.7,39.7,41.1,45.6,2,0,14,11172,9720,
218,33,8,7,0,10,15,32,8,0,4.4,3.6,4.4,3.6,2,0,2,145,145,
219,64,20,28,10,7,0,65,0,0,2.2,2.2,2.2,2.2,2,0,3,140,140,
220,277,48,110,47,49,0,84,170,0,4.6,5,4.6,5,2,0,19,1265,1265,
221,322,78,100,67,54,0,179,106,14,16.3,17.5,19.6,21.1,1,0,13,6316,5242,
222,164,52,56,18,7,20,110,43,0,17,18.2,17,18.2,2,0,11,2791,2791,
223,145,48,10,72,14,0,144,0,0,5.1,5.2,6.2,6.2,1,0,3,894,742,
224,73,36,24,12,0,0,0,72,0,8,8.1,9.6,9.8,1,0,5,704,584,
225,245,42,179,24,42,15,302,0,0,3.6,3,3.6,3,2,0,7,893,893,
226,406,209,36,125,20,0,102,288,0,13.9,14.5,16.7,17.4,1,0,7,6794,5639,
227,98,35,0,41,20,0,28,68,0,56.5,57.6,68,69.4,1,0,5,6666,5533,
228,83,44,10,3,25,0,15,63,4,4.9,5,6,6,1,0,3,494,410,
229,182,30,59,39,29,0,0,157,0,5.5,6.4,6.6,7.7,1,0,5,1206,1001,
230,820,460,98,199,175,0,685,212,35,3.1,2.7,3.1,2.7,4,0,11,2552,2552,
231,545,116,226,131,72,0,79,466,0,16,16,16,16,1,0,11,8740,8740,
232,105,96,9,0,0,0,21,84,0,1.9,1.9,1.9,1.9,1,0,8,198,198,
233,55,12,10,14,15,0,9,42,0,42.7,46,51.4,55.5,1,0,1,2828,2347,
234,62,27,4,0,31,7,69,0,0,13.2,11.8,15.9,14.3,1,0,8,984,817,
235,109,0,105,0,0,0,0,105,0,2.3,2.4,2.8,2.9,1,0,1,300,249,
236,436,27,334,15,0,60,436,0,0,17.8,17.8,17.8,17.8,2,0,15,7762,7762,
237,179,60,44,6,38,40,188,0,0,4.3,4.1,5.2,5,1,0,4,935,776,
238,1710,932,521,233,214,0,1900,0,0,7.7,6.9,7.7,6.9,2,0,21,13130,13130,
239,128,49,15,25,31,0,120,0,0,12.8,13.7,14.8,15.8,2,0,2,1890,1644,
240,174,21,7,30,50,32,140,0,0,77.7,96.6,77.7,96.6,4,0,8,13528,13528,
241,70,28,4,15,21,0,39,29,0,8.8,9.1,10.6,10.9,1,0,5,743,617,
242,379,159,29,57,119,15,379,0,0,6.3,6.3,6.3,6.3,1,0,7,2391,2391,
243,258,12,16,230,0,0,26,232,0,2.3,2.3,2.3,2.3,2,0,5,605,605,
244,129,33,0,39,24,25,121,0,0,16,17.1,18.4,19.6,2,0,4,2372,2064,
245,856,349,194,74,84,155,856,0,0,3,3,3,3,2,0,12,2551,2551,
246,127,56,14,10,39,0,25,94,0,13.1,14,15.8,16.9,1,0,7,2010,1668,
247,381,119,107,9,28,65,137,191,0,4.8,5.5,4.8,5.5,2,0,19,1817,1817,
248,234,117,19,93,0,5,231,3,0,21.8,21.8,21.8,21.8,1,0,10,5103,5103,
249,215,58,62,46,51,0,82,135,0,13.2,13.1,15.9,15.7,1,0,8,3417,2836,
250,1406,541,70,290,335,90,1326,0,0,10.6,11.3,10.5,11.1,4,0,1,14698,14938,
251,85,21,67,3,0,15,22,59,25,12.3,9.9,12.3,9.9,2,0,13,1049,1049,
252,59,10,32,3,21,5,71,0,0,18,14.9,21.7,18,1,0,10,1278,1061,
253,358,139,0,89,70,40,338,0,0,38.9,41.2,46.8,49.6,1,0,9,16770,13919,
254,73,40,0,12,10,0,0,62,0,50.3,59.3,60.7,71.4,1,0,7,4428,3675,
255,597,189,96,78,239,7,609,0,0,4.3,4.2,4.3,4.2,1,0,6,2542,2542,
256,276,90,120,34,14,0,101,139,18,8.1,8.7,8.1,8.7,1,0,2,2244,2244,
257,728,181,165,15,84,167,330,27,255,11.1,13.1,13.3,15.8,1,0,4,9694,8046,
258,59,0,55,0,0,0,11,11,33,83.8,89.9,101,108.3,1,0,6,5958,4945,
259,98,36,32,9,17,0,45,42,7,13.4,14,16.1,16.8,1,0,11,1582,1313,
260,756,452,66,127,84,5,302,320,112,4.3,4.4,4.3,4.4,1,0,7,3214,3214,
261,155,120,34,0,0,0,47,107,0,3.1,3.1,3.8,3.8,1,0,10,582,483,
262,544,125,104,107,133,0,107,362,0,4.2,4.9,5.1,5.9,1,0,4,2778,2306,
263,813,27,677,34,0,100,18,820,0,2,1.9,2,1.9,2,0,9,1634,1634,
264,75,23,0,30,27,14,94,0,0,9.6,7.7,9.6,7.7,1,0,6,720,720,
265,112,85,4,16,14,0,119,0,0,9.6,9,9.6,9,4,0,13,1073,1073,
266,211,73,32,79,22,5,111,100,0,16.9,16.9,16.9,16.9,1,0,13,3566,3566,
267,895,222,271,222,63,0,778,0,0,0.9,1,0.9,1,1,0,7,780,780,
268,74,18,7,37,7,5,74,0,0,54,54,54,54,1,0,14,3995,3995,
269,3331,1049,519,399,595,360,2922,0,0,14.7,16.8,14.7,16.8,4,0,42,49034,49034,
270,64,15,18,9,15,5,12,39,11,6.1,6.3,7.4,7.6,1,0,6,472,392,
271,1402,328,804,187,49,63,1431,0,0,12.6,12.3,12.3,12,1,0,23,17219,17607,
272,337,128,21,86,77,25,337,0,0,1.8,1.8,1.9,1.9,1,0,8,657,591,
273,73,0,0,67,0,10,39,38,0,11.1,10.5,13.4,12.7,1,0,6,978,812,
274,64,12,28,17,7,0,47,17,0,8.8,8.8,10.6,10.6,1,0,12,680,564,
275,1703,186,463,0,516,316,1481,0,0,5,5.8,5,5.8,3,0,8,8549,8549,
276,151,41,21,29,41,19,151,0,0,2.6,2.6,2.9,2.9,1,0,3,434,391,
277,66,27,14,6,17,0,42,22,0,27.5,28.4,33.2,34.2,1,0,2,2189,1817,
278,70,24,0,3,42,5,74,0,0,7.7,7.3,9.4,8.9,2,0,3,659,540,
279,754,301,130,204,90,0,213,512,0,9.9,10.3,11.9,12.4,1,0,8,8967,7443,
280,325,106,49,31,80,12,136,142,0,26.7,31.2,32.1,37.5,1,0,6,10437,8663,
281,168,84,7,45,40,22,198,0,0,27.5,23.3,27.5,23.3,2,0,12,4622,4622,
282,226,99,50,43,63,5,260,0,0,4,3.5,4,3.5,4,0,7,915,915,
283,335,83,71,71,111,17,353,0,0,75.8,72,75.8,72,4,0,12,25401,25401,
284,76,21,51,3,0,0,63,12,0,7.5,7.6,9,9.1,1,0,5,686,569,
285,221,31,133,0,45,5,53,161,0,6.8,7.1,8.2,8.5,1,0,4,1822,1512,
286,1010,213,224,111,212,75,758,77,0,5,6.1,5,6.1,2,0,11,5053,5053,
287,116,46,12,22,35,15,130,0,0,16.7,14.9,16.7,14.9,1,0,10,1939,1939,
288,39,25,0,3,14,0,11,31,0,2.9,2.7,2.9,2.7,2,0,1,114,114,
289,170,75,12,23,39,0,108,41,0,9,10.3,9,10.3,4,0,8,1532,1532,
290,179,85,0,49,59,0,193,0,0,26.4,24.5,31.8,29.5,1,0,4,5690,4723,
