recordnumber,projectname,cat2,forg,center,year,mode,rely,data,cplx,time,stor,virt,turn,acap,aexp,pcap,vexp,lexp,modp,tool,sced,equivphyskloc,act_effort
29,X,realdataprocessing,g,2,1982,semidetached,1.0,1.4,1.15,1.4,1.4,0.7,1.15,1.4,1.15,1.0,0.7,1.15,1.4,1.4,0.7,163,82
30,X,communications,g,2,1982,semidetached,1.0,1.4,1.15,1.4,1.4,0.7,1.15,1.4,1.15,1.0,0.7,1.15,1.4,1.4,0.7,128,62
31,X,batchdataprocessing,g,2,1982,semidetached,1.0,1.4,1.15,1.4,1.4,0.7,1.15,1.4,1.15,1.0,0.7,1.15,1.4,1.4,0.7,326,170
32,X,datacapture,g,2,1982,semidetached,1.0,1.4,1.15,1.4,1.4,0.7,1.15,1.4,1.15,1.0,0.7,1.15,1.4,1.4,0.7,355,192
33,X,missionplanning,g,2,1985,semidetached,1.15,0.7,1.15,1.0,1.0,0.7,0.7,1.0,1.0,1.0,1.0,1.15,1.15,1.0,0.7,55,18
34,X,avionicsmonitoring,g,2,1987,semidetached,1.15,0.7,1.15,1.0,1.0,0.7,0.7,1.0,1.0,1.0,1.0,1.15,1.15,1.0,0.7,104,50
35,X,avionicsmonitoring,g,2,1987,semidetached,1.15,0.7,1.15,1.0,1.0,0.7,0.7,1.0,1.0,1.0,1.0,1.15,1.15,1.0,0.7,14,60
36,X,monitor_control,g,2,1986,semidetached,1.15,1.0,1.15,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,65,42
37,X,monitor_control,g,2,1986,semidetached,1.0,1.0,1.15,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,13,60
38,X,monitor_control,g,2,1986,semidetached,1.0,1.0,1.15,1.0,1.0,1.0,1.0,1.0,1.0,1.15,1.0,1.15,1.15,1.15,1.0,90,444
39,X,monitor_control,g,2,1986,semidetached,1.0,1.0,1.15,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8,42
40,X,monitor_control,g,2,1986,semidetached,1.0,1.0,1.15,1.15,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,16,114
41,hst,datacapture,g,2,1980,semidetached,1.0,1.15,1.15,1.4,1.15,0.7,1.15,1.15,1.0,1.15,0.7,1.15,1.15,1.0,0.7,1779,1248
42,slp,launchprocessing,g,6,1975,semidetached,1.15,0.7,1.15,1.0,1.0,0.7,0.7,1.0,1.0,1.15,1.0,1.0,1.15,0.5,1.0,302,2400
43,Y,application_ground,g,5,1982,semidetached,1.0,1.15,0.7,1.0,1.0,1.15,1.0,1.15,1.15,1.0,1.0,1.0,1.15,1.15,1.0,2821,1368
44,Y,application_ground,g,5,1982,semidetached,1.15,1.15,0.7,1.0,1.0,1.0,1.15,1.15,1.15,1.0,1.0,1.0,1.15,1.0,1.0,2847,973
45,Y,avionicsmonitoring,g,5,1982,semidetached,1.15,1.15,1.0,1.0,1.0,0.7,0.7,1.0,1.15,1.15,1.0,1.15,1.0,1.0,1.0,79,400
46,Y,avionicsmonitoring,g,5,1977,semidetached,0.7,1.0,1.0,1.0,1.0,0.7,0.7,1.15,1.15,1.4,1.0,1.15,0.7,0.7,1.15,423,2400
47,Y,missionplanning,g,5,1977,semidetached,1.0,1.0,1.0,1.0,1.0,0.7,1.0,1.15,1.4,1.4,0.7,1.15,1.15,1.0,1.0,190,420
48,Y,missionplanning,g,5,1984,semidetached,1.0,1.0,1.15,1.0,1.15,1.0,1.0,1.15,1.15,1.0,1.0,1.15,1.15,1.0,1.15,475,252
49,Y,missionplanning,g,5,1980,semidetached,1.4,1.0,1.65,1.15,1.15,0.7,0.7,1.0,1.15,1.0,1.0,1.0,0.7,1.15,1.0,21,107
50,Y,simulation,g,5,1983,semidetached,1.0,1.15,1.15,1.4,1.0,1.0,1.15,1.15,1.15,1.15,1.0,1.15,0.7,0.7,1.15,78,5714
51,Y,simulation,g,5,1984,semidetached,1.0,1.15,1.15,1.4,1.0,1.0,1.15,1.15,1.15,1.15,1.0,1.15,0.7,0.7,1.15,114,988
52,Y,simulation,g,5,1985,semidetached,1.0,1.15,1.15,1.4,1.0,1.0,1.15,1.15,1.15,1.15,1.0,1.15,0.7,0.7,1.15,193,155
53,Y,missionplanning,g,5,1979,semidetached,1.15,1.0,1.4,1.15,1.15,0.7,1.15,1.15,1.0,1.0,1.15,1.15,0.7,1.4,1.15,101,750
54,Y,missionplanning,g,5,1979,semidetached,1.15,1.0,1.15,1.15,1.15,0.7,1.15,1.0,1.15,1.0,1.0,1.0,0.7,1.4,1.0,219,2120
55,Y,utility,g,5,1979,semidetached,1.15,1.0,1.15,1.15,1.15,0.7,1.15,1.0,1.15,1.0,1.0,1.0,0.7,1.4,1.0,50,370
56,spl,datacapture,g,2,1979,semidetached,1.4,1.15,1.15,1.4,1.4,1.0,1.0,1.4,1.4,1.4,1.0,1.15,1.15,1.15,0.7,227,1181
57,spl,batchdataprocessing,g,2,1977,semidetached,1.0,1.15,1.4,1.0,1.0,0.7,1.0,1.15,1.0,1.4,0.7,1.0,1.15,1.0,0.7,70,278
58,de,avionicsmonitoring,g,2,1979,semidetached,1.15,0.7,1.15,1.0,1.0,0.7,0.7,1.0,1.0,1.0,1.0,1.15,1.15,1.0,0.7,9,84
59,slp,operatingsystem,g,6,1974,semidetached,1.4,0.7,1.65,1.65,1.4,0.7,0.7,1.15,1.4,1.15,0.5,1.15,0.5,0.5,1.15,980,4560
60,slp,operatingsystem,g,6,1975,embedded,1.0,0.7,1.15,1.0,1.0,0.7,0.7,1.4,1.0,1.4,1.15,1.15,1.0,0.7,1.0,350,720
61,Y,operatingsystem,g,5,1976,embedded,1.15,1.0,1.65,1.15,1.15,0.7,0.7,1.15,1.0,1.0,1.15,1.15,1.15,1.15,1.0,70,458
62,Y,utility,g,5,1979,embedded,1.15,1.0,1.65,1.15,1.15,0.7,0.7,1.15,1.0,1.0,1.15,1.15,1.15,1.15,1.0,271,2460
63,Y,avionicsmonitoring,g,5,1971,organic,1.0,1.0,1.0,1.0,1.0,0.7,0.7,1.15,1.15,1.15,1.0,1.15,1.0,0.7,1.0,90,162
64,Y,avionicsmonitoring,g,5,1980,organic,1.0,1.0,1.0,1.0,1.0,0.7,0.7,1.15,1.15,1.15,1.0,1.15,1.0,0.7,1.0,40,150
65,Y,avionicsmonitoring,g,5,1979,embedded,1.15,1.0,1.15,1.15,1.0,0.7,0.7,1.15,1.15,1.15,1.0,1.15,1.0,1.0,1.0,137,636
66,Y,avionicsmonitoring,g,5,1977,embedded,1.15,1.0,1.15,1.15,1.0,1.15,0.7,1.15,1.15,1.15,1.0,1.15,1.0,0.5,1.0,150,882
67,Y,avionicsmonitoring,g,5,1976,embedded,1.4,1.0,1.15,1.15,1.0,0.7,0.7,1.15,1.15,1.15,1.0,1.15,1.0,1.0,1.0,339,444
68,Y,avionicsmonitoring,g,5,1983,organic,0.7,1.15,0.7,1.0,1.0,1.15,0.7,1.15,1.15,1.15,1.0,1.15,1.0,0.7,1.0,240,192
69,Y,avionicsmonitoring,g,5,1978,semidetached,1.15,1.0,1.15,1.0,1.4,0.7,1.0,1.15,1.15,1.15,1.15,1.15,0.7,0.7,0.7,144,576
70,Y,avionicsmonitoring,g,5,1979,semidetached,1.0,0.7,1.0,1.0,1.4,0.7,1.0,1.15,1.15,1.15,1.15,1.15,0.7,0.7,0.7,151,432
71,Y,avionicsmonitoring,g,5,1979,semidetached,1.0,0.7,1.15,1.0,1.4,0.7,1.0,1.15,1.15,1.15,1.15,1.15,0.7,0.7,0.7,34,72
72,Y,avionicsmonitoring,g,5,1979,semidetached,1.0,1.0,1.15,1.0,1.4,0.7,1.0,1.15,1.15,1.15,1.15,1.15,0.7,0.7,0.7,98,300
73,Y,avionicsmonitoring,g,5,1979,semidetached,1.0,1.0,1.15,1.0,1.4,0.7,1.0,1.15,1.15,1.15,1.15,1.15,0.7,0.7,0.7,85,300
74,Y,avionicsmonitoring,g,5,1982,semidetached,1.0,0.7,1.0,1.0,1.4,0.7,1.0,1.15,1.15,1.15,1.15,1.15,0.7,0.7,0.7,20,240
75,Y,avionicsmonitoring,g,5,1978,semidetached,1.0,0.7,1.0,1.0,1.4,0.7,1.0,1.15,1.15,1.15,1.15,1.15,0.7,0.7,0.7,111,600
76,Y,avionicsmonitoring,g,5,1978,semidetached,1.15,1.4,1.15,1.0,1.4,0.7,1.0,1.15,1.15,1.15,1.15,1.15,0.7,0.7,0.7,162,756
77,Y,avionicsmonitoring,g,5,1978,semidetached,1.15,1.15,1.4,1.0,1.4,0.7,1.0,1.15,1.15,1.15,1.15,1.15,0.7,0.7,0.7,352,1200
78,Y,operatingsystem,g,5,1979,semidetached,1.15,1.0,1.4,1.0,1.4,0.7,1.0,1.15,1.15,1.15,1.15,1.15,0.7,0.7,0.7,165,97
79,Y,missionplanning,g,5,1984,embedded,1.15,1.0,1.4,1.15,1.15,0.7,1.4,1.15,1.0,1.0,1.15,1.15,1.15,1.4,1.15,60,409
80,Y,missionplanning,g,5,1984,embedded,1.15,1.0,1.4,1.15,1.15,0.7,1.4,1.15,1.0,1.0,1.15,1.15,1.15,1.4,1.15,100,703
81,hst,Avionics,f,2,1980,embedded,1.15,1.4,1.4,1.65,1.65,1.15,1.15,1.0,1.0,1.0,0.7,0.7,1.0,1.0,1.15,32,1350
82,hst,Avionics,f,2,1980,embedded,1.15,1.15,1.15,1.4,1.65,1.15,1.15,1.15,1.15,1.15,1.15,1.15,1.15,1.0,1.0,53,480
84,spl,Avionics,f,3,1977,embedded,1.15,0.7,1.4,1.4,1.65,0.7,1.0,1.4,1.4,1.4,0.5,0.5,1.15,1.15,1.0,41,599
89,spl,Avionics,f,3,1977,embedded,1.15,0.7,1.4,1.4,1.65,0.7,1.0,1.4,1.4,1.4,0.5,0.5,1.15,1.15,1.0,24,430
91,Y,Avionics,f,5,1977,embedded,1.4,1.15,1.4,1.65,1.65,1.0,1.0,1.15,1.15,1.15,1.15,1.15,1.15,1.0,1.15,165,41782
92,Y,science,f,5,1977,embedded,1.4,1.15,1.4,1.65,1.65,1.0,1.0,1.15,1.15,1.15,1.15,1.15,1.15,1.0,1.15,65,17725
93,Y,Avionics,f,5,1977,embedded,1.4,1.15,1.4,1.65,1.65,1.0,0.7,1.15,1.15,1.15,1.15,1.15,1.15,1.0,1.15,70,16459
94,Y,Avionics,f,5,1977,embedded,1.4,1.15,1.65,1.65,1.65,1.0,1.0,1.15,1.15,1.15,1.15,1.15,1.15,1.0,1.15,50,19245
97,gal,Avionics,f,5,1982,embedded,1.4,0.7,1.4,1.4,1.65,0.7,0.7,1.15,0.7,1.0,0.5,0.7,0.7,1.15,1.15,725,648
98,Y,Avionics,f,5,1980,embedded,1.4,1.15,1.4,1.65,1.65,1.0,1.0,1.15,1.15,1.15,1.15,1.15,1.15,1.0,1.15,233,8211
99,X,Avionics,f,2,1983,embedded,1.15,1.0,1.4,1.4,1.4,1.15,1.15,1.0,1.0,1.0,0.7,0.7,1.0,1.0,1.15,163,480
100,X,Avionics,f,2,1983,embedded,1.15,1.0,1.4,1.4,1.4,1.15,1.15,1.0,1.0,1.0,0.7,0.7,1.0,1.0,1.15,62,12
101,X,science,f,2,1983,embedded,1.15,1.0,1.4,1.4,1.4,1.15,1.15,1.0,1.0,1.0,0.7,0.7,1.0,1.0,1.15,3,38
97,gal,realdataprocessing,f,6,1975,semidetached,1.4,0.7,1.15,1.15,1.0,0.7,1.15,1.15,1.15,1.15,0.5,0.5,0.5,0.7,0.7,22,300
94,slp,monitor_control,g,3,1983,embedded,1.4,1.15,1.4,1.65,1.65,1.0,1.4,1.4,1.15,1.15,1.0,1.15,1.4,0.7,1.0,55,114
51,gal,launchprocessing,g,3,1987,semidetached,0.7,0.7,1.0,1.15,1.65,1.0,1.4,1.4,1.0,1.4,1.0,0.5,1.0,1.15,1.0,97,18
68,Y,batchdataprocessing,f,5,1987,organic,1.15,1.15,1.65,1.15,1.65,0.7,1.15,1.15,1.15,1.4,1.0,0.5,0.7,0.5,1.15,20,62
13,erb,batchdataprocessing,g,6,1978,embedded,1.15,1.0,1.65,1.4,1.4,1.15,1.4,1.4,1.0,1.4,1.0,0.7,1.4,0.7,1.15,165,750
84,erb,operatingsystem,g,3,1985,semidetached,1.0,1.15,1.65,1.0,1.0,1.0,1.4,1.15,1.4,1.4,0.7,0.7,1.15,0.5,1.0,70,882
37,spl,science,g,6,1984,organic,1.0,0.7,1.15,1.4,1.15,0.7,1.15,1.15,1.4,1.4,1.0,1.0,1.15,1.0,1.0,1779,703
7,Y,simulation,g,2,1980,organic,1.15,1.4,1.0,1.65,1.15,1.15,1.4,1.0,1.15,1.0,0.7,0.5,1.15,1.4,1.0,666,82
30,spl,avionicsmonitoring,g,1,1985,organic,1.15,1.4,1.15,1.15,1.65,1.15,1.0,1.4,1.0,1.0,1.15,0.5,1.4,1.15,1.0,113,430
101,de,launchprocessing,g,3,1971,organic,1.4,1.0,1.0,1.65,1.4,0.7,1.4,1.0,1.0,1.0,1.15,0.7,0.7,1.0,1.0,219,1176
42,X,batchdataprocessing,f,5,1980,organic,1.0,0.7,1.0,1.65,1.15,1.0,1.4,1.0,1.4,1.15,1.0,0.5,1.4,0.7,1.0,1779,444
29,de,monitor_control,g,2,1978,organic,0.7,0.7,1.15,1.4,1.65,0.7,0.7,1.4,1.15,1.0,0.5,1.0,0.5,1.15,0.7,55,50
42,Y,operatingsystem,g,6,1975,embedded,1.15,1.0,1.4,1.0,1.15,1.0,1.4,1.15,0.7,1.15,1.15,1.0,1.4,1.0,1.0,2847,648
76,spl,utility,f,5,1976,semidetached,1.15,1.15,0.7,1.4,1.0,0.7,1.15,1.4,1.4,1.15,1.0,0.5,1.4,1.15,0.7,423,48
21,gal,monitor_control,f,3,1976,organic,1.4,1.0,1.65,1.0,1.0,0.7,1.15,1.15,0.7,1.15,0.5,0.7,1.0,1.15,1.0,246,444
18,de,batchdataprocessing,g,3,1978,embedded,1.0,1.15,1.0,1.65,1.4,0.7,1.4,1.15,1.4,1.15,1.0,0.7,0.7,1.0,1.15,78,278
10,Y,realdataprocessing,g,2,1984,embedded,1.0,1.0,1.4,1.15,1.65,1.0,1.4,1.0,1.0,1.4,0.5,0.5,0.7,0.7,1.0,24,120
37,spl,launchprocessing,g,2,1983,semidetached,1.4,1.0,1.15,1.65,1.65,1.0,0.7,1.0,0.7,1.15,1.0,0.7,1.0,0.7,1.15,38,300
57,hst,batchdataprocessing,g,6,1978,embedded,1.4,1.15,0.7,1.4,1.65,1.15,0.7,1.0,1.0,1.15,1.0,0.7,0.7,1.4,1.0,50,3528
100,erb,application_ground,g,1,1986,organic,1.0,1.15,1.0,1.0,1.4,1.15,1.0,1.4,0.7,1.15,1.15,1.0,1.4,0.5,1.0,165,252
100,X,simulation,g,1,1980,embedded,1.4,1.15,0.7,1.4,1.15,0.7,0.7,1.0,1.4,1.4,1.0,0.7,0.5,0.7,1.0,154,252
24,gal,Avionics,g,2,1983,organic,1.0,1.15,1.65,1.4,1.65,1.0,1.15,1.0,1.4,1.4,0.7,0.7,0.5,1.0,1.0,113,41782
42,gal,batchdataprocessing,f,5,1980,semidetached,1.4,0.7,1.0,1.15,1.4,0.7,1.0,1.15,0.7,1.15,1.0,0.5,1.0,1.0,1.15,485,973
99,spl,datacapture,g,1,1986,semidetached,1.4,1.4,0.7,1.0,1.15,0.7,1.15,1.4,1.0,1.0,0.5,1.15,1.0,1.4,1.0,325,114
3,hst,science,f,3,1987,semidetached,1.0,1.15,1.4,1.0,1.0,0.7,1.4,1.15,1.0,1.4,0.5,1.15,1.0,1.0,0.7,190,1368
1,X,application_ground,g,1,1987,embedded,0.7,1.4,1.0,1.0,1.65,0.7,1.0,1.0,1.15,1.0,1.15,1.15,1.4,1.15,0.7,144,600
65,gal,monitor_control,f,2,1983,organic,0.7,0.7,1.15,1.65,1.65,1.15,1.0,1.0,1.0,1.4,0.5,1.0,0.5,1.15,1.15,20,1248
63,spl,Avionics,g,6,1984,embedded,1.4,1.15,1.65,1.65,1.4,1.0,1.4,1.0,1.15,1.15,0.5,0.7,0.7,0.5,0.7,79,38
56,gal,simulation,f,5,1982,organic,0.7,1.0,1.65,1.4,1.65,0.7,0.7,1.0,0.7,1.0,0.7,0.5,0.5,0.7,1.15,53,1200
16,Y,monitor_control,g,5,1983,organic,1.4,0.7,1.15,1.65,1.15,1.15,0.7,1.4,1.15,1.0,1.15,0.5,1.4,1.4,1.15,326,370
76,Y,datacapture,g,6,1976,embedded,1.15,1.15,1.15,1.4,1.4,1.15,1.0,1.15,1.4,1.0,0.7,1.15,0.5,1.0,0.7,70,2400
20,spl,avionicsmonitoring,f,5,1971,semidetached,1.4,1.4,1.65,1.65,1.15,1.15,1.0,1.15,1.15,1.15,1.15,1.15,1.0,0.5,1.0,65,720
56,spl,realdataprocessing,f,3,1978,semidetached,1.15,1.0,1.4,1.15,1.65,0.7,1.4,1.4,1.0,1.15,0.7,0.7,1.0,1.4,1.0,13,703
89,spl,science,g,2,1974,embedded,1.4,1.4,0.7,1.4,1.4,1.15,1.4,1.4,1.15,1.4,0.7,1.15,1.15,1.4,0.7,339,41782
61,slp,simulation,f,2,1987,organic,0.7,1.0,1.65,1.65,1.0,0.7,1.4,1.15,1.4,1.15,0.7,1.0,0.7,1.0,1.15,78,2460
99,erb,science,g,3,1976,semidetached,1.4,1.4,1.4,1.0,1.0,1.0,1.15,1.15,0.7,1.4,0.5,1.0,1.0,1.4,1.15,77,973
15,Y,communications,f,5,1985,embedded,0.7,0.7,0.7,1.4,1.0,0.7,1.4,1.15,0.7,1.0,1.0,1.0,1.15,1.15,1.0,227,108
50,slp,datacapture,f,5,1971,embedded,1.0,1.4,1.65,1.4,1.15,1.15,0.7,1.4,1.4,1.4,0.5,0.5,0.5,1.15,0.7,259,114
29,spl,launchprocessing,f,2,1984,semidetached,0.7,0.7,1.65,1.0,1.0,0.7,0.7,1.4,1.15,1.15,1.0,1.15,0.5,0.7,1.15,165,300
60,de,science,g,3,1985,semidetached,1.4,1.4,0.7,1.0,1.65,0.7,0.7,1.15,0.7,1.4,1.0,1.0,0.5,0.7,0.7,339,432
99,spl,launchprocessing,f,3,1980,embedded,1.15,1.15,1.15,1.65,1.15,0.7,0.7,1.4,0.7,1.0,1.0,1.0,0.5,1.0,0.7,128,648
17,slp,simulation,f,5,1978,organic,1.15,1.15,1.0,1.4,1.65,1.15,0.7,1.0,0.7,1.15,0.7,1.15,1.4,1.15,0.7,113,170
66,spl,batchdataprocessing,g,3,1971,semidetached,1.15,0.7,1.0,1.65,1.65,1.0,1.0,1.0,0.7,1.15,1.15,1.15,0.7,1.4,0.7,20,2400
70,hst,operatingsystem,f,1,1984,organic,1.0,1.0,1.15,1.15,1.15,1.15,1.15,1.4,1.0,1.4,0.5,1.15,1.0,0.7,1.15,259,300
21,de,datacapture,f,1,1984,semidetached,0.7,1.0,0.7,1.4,1.15,0.7,0.7,1.0,1.0,1.0,0.5,0.7,1.0,1.0,0.7,219,97
43,hst,launchprocessing,f,3,1987,embedded,1.15,1.0,1.65,1.4,1.65,1.15,1.4,1.0,1.4,1.15,1.0,0.5,1.0,1.0,1.0,666,84
61,X,communications,f,6,1983,semidetached,1.15,0.7,1.4,1.0,1.0,0.7,1.4,1.0,1.4,1.0,1.15,1.15,1.15,1.15,1.15,55,108
94,erb,communications,g,6,1971,semidetached,0.7,1.15,1.0,1.4,1.15,1.15,1.0,1.15,1.4,1.15,1.0,1.15,0.7,1.0,1.15,725,19245
68,gal,missionplanning,g,3,1976,organic,0.7,1.4,0.7,1.4,1.65,0.7,1.4,1.15,1.4,1.0,0.5,0.7,1.4,1.0,1.15,240,576
75,X,datacapture,g,6,1971,semidetached,1.15,0.7,1.0,1.65,1.4,0.7,1.15,1.4,1.0,1.15,1.0,0.7,1.4,1.0,1.15,980,756
18,hst,monitor_control,f,1,1982,semidetached,0.7,1.0,1.4,1.15,1.0,0.7,1.0,1.0,1.4,1.4,0.7,1.0,1.0,0.7,1.15,13,278
70,gal,realdataprocessing,f,3,1978,embedded,0.7,1.15,0.7,1.15,1.65,1.15,1.0,1.0,0.7,1.0,1.15,0.5,1.0,1.15,0.7,1779,576
7,slp,science,g,2,1984,semidetached,1.4,0.7,1.0,1.15,1.0,0.7,1.15,1.15,1.4,1.0,0.5,0.5,1.0,1.15,0.7,9,239
73,spl,application_ground,f,5,1975,semidetached,0.7,1.4,1.4,1.4,1.15,1.15,1.15,1.15,0.7,1.4,0.5,0.7,1.4,0.7,1.15,137,3528
36,hst,simulation,f,1,1979,organic,1.4,1.15,1.4,1.15,1.4,1.15,0.7,1.0,0.7,1.15,1.15,0.5,1.0,1.15,1.15,355,48
100,spl,Avionics,f,2,1987,embedded,1.4,1.0,1.15,1.15,1.0,0.7,0.7,1.4,1.15,1.4,0.7,1.15,1.0,1.0,0.7,97,278
40,hst,monitor_control,g,5,1984,semidetached,0.7,1.15,1.0,1.65,1.0,1.0,1.0,1.4,1.4,1.15,1.15,1.0,0.7,0.7,0.7,38,82
89,X,avionicsmonitoring,g,2,1975,semidetached,1.0,1.4,1.65,1.4,1.65,1.15,1.0,1.0,1.15,1.0,0.5,0.5,1.15,1.15,1.0,485,239
3,X,missionplanning,g,1,1987,embedded,0.7,1.0,1.4,1.65,1.4,1.15,1.4,1.0,1.15,1.15,1.15,1.0,1.4,1.15,0.7,10,36
74,Y,monitor_control,f,2,1971,embedded,1.0,1.4,1.0,1.65,1.65,0.7,0.7,1.15,0.7,1.4,0.5,0.7,1.4,0.7,1.0,352,1248
70,de,communications,g,3,1976,embedded,1.15,1.15,1.65,1.65,1.15,1.15,1.0,1.0,1.0,1.15,1.0,0.5,0.5,1.15,1.0,128,48
59,slp,communications,g,3,1983,organic,1.15,1.15,0.7,1.15,1.0,1.15,1.0,1.0,1.0,1.15,0.7,0.5,1.4,1.15,1.15,2821,210
89,spl,application_ground,g,6,1985,organic,1.0,0.7,1.65,1.4,1.4,1.0,1.15,1.4,1.0,1.0,0.7,0.5,1.4,1.0,0.7,97,720
40,gal,realdataprocessing,g,6,1986,embedded,1.0,1.4,1.0,1.4,1.4,0.7,1.15,1.15,1.0,1.4,0.7,0.5,1.4,0.7,0.7,1779,48
12,slp,missionplanning,g,5,1983,embedded,0.7,1.15,1.15,1.15,1.15,1.0,0.7,1.4,1.15,1.15,0.7,1.15,0.7,1.15,0.7,85,24
24,spl,Avionics,f,1,1982,organic,1.0,1.0,1.15,1.0,1.15,1.15,1.4,1.0,1.0,1.4,0.5,0.7,1.15,0.5,0.7,98,324
