ID,AFP,PDR_AFP,PDR_UFP,NPDR_AFP,NPDU_UFP,Effort
313,132,105,11,126,132,1383
314,286,6,65,6,65,1727
315,305,148,166,148,166,4504
316,268,179,194,206,222,4800
317,110,232,232,232,232,2553
318,3963,43,44,43,44,16921
319,397,188,182,226,22,7459
320,254,153,156,153,156,3877
321,134,156,192,188,231,2088
322,266,177,182,213,219,4695
323,237,135,152,163,183,3201
324,1243,92,94,111,114,11490
325,666,11,12,11,12,752
326,1810,162,182,162,182,29399
327,88,261,27,315,326,2299
328,62,142,173,153,186,883
329,305,285,333,344,402,8702
330,349,106,106,106,106,3703
331,156,45,49,54,59,705
332,100,143,13,143,13,1434
333,222,11,128,133,155,2450
334,506,69,68,69,68,3500
335,123,154,165,177,189,1896
336,252,271,271,271,271,6821
337,258,54,55,65,66,1393
338,166,157,162,189,195,2604
339,181,201,215,226,242,3638
340,284,114,122,114,122,3234
341,52,48,42,58,51,252
342,102,101,106,121,128,1028
343,58,119,119,144,144,691
344,1196,65,65,65,65,7824
345,38,65,65,65,65,247
346,84,326,338,393,407,2738
347,73,154,133,185,161,1121
348,449,357,375,43,452,16042
349,551,44,51,53,62,2435
350,194,74,78,74,78,1440
351,185,347,452,347,452,6416
352,134,91,78,109,94,1213
353,1241,82,82,82,82,10222
354,99,24,24,24,24,241
355,1285,9,8,9,8,1200
356,466,37,37,44,45,1708
357,77,274,293,33,353,2108
358,81,56,61,68,74,454
359,694,59,68,59,68,4086
360,62,327,349,394,421,2027
361,56,52,51,52,51,293
362,753,57,64,57,64,4301
363,421,399,399,399,399,16788
364,59,96,87,116,105,566
365,409,65,65,65,65,2672
366,115,163,163,163,163,1869
367,93,86,87,104,105,803
368,71,566,582,682,702,4019
369,971,5,61,6,74,4867
370,74,423,423,423,423,3132
371,81,11,11,13,14,89
372,106,106,10,128,12,1126
373,1168,13,12,13,12,1538
374,1093,66,76,66,76,7263
375,67,575,653,693,787,3853
376,1256,23,294,41,525,28855
377,72,173,173,209,209,1248
378,777,194,222,222,256,15039
379,131,378,386,455,466,4947
380,134,151,143,182,173,2019
381,826,65,69,65,69,5400
382,3180,104,122,104,122,33028
383,324,157,152,157,152,5078
384,220,32,33,32,33,701
385,258,29,31,29,31,736
386,139,7,7,7,7,976
387,274,43,38,43,38,1167
388,231,163,141,163,141,3762
389,126,49,44,49,44,619
390,93,118,116,143,14,1101
391,1825,7,7,7,7,1210
392,500,118,131,142,157,5876
393,373,64,6,64,6,2395
394,330,32,28,32,28,1050
395,57,305,317,368,381,1741
396,127,124,126,15,152,1579
397,1362,23,23,23,23,3193
398,1463,246,241,246,241,36046
399,148,232,246,28,296,3437
400,474,39,39,39,39,1829
401,77,53,53,64,64,408
402,213,38,38,38,38,801
403,175,34,34,34,34,597
404,360,21,23,21,23,763
405,331,37,33,37,33,1238
406,285,44,4,44,4,1249
407,187,735,844,845,97,13752
408,502,185,209,185,209,9296
409,303,11,11,13,14,329
410,174,177,16,177,16,3088
411,44,86,73,86,73,380
412,387,6,61,73,74,2333
413,406,52,5,52,5,2109
414,496,203,192,234,221,10080
415,116,48,52,48,52,553
416,53,67,56,67,56,354
417,209,9,8,9,8,190
418,903,61,63,73,75,5482
419,469,68,76,82,92,3191
420,1894,21,23,21,23,3986
421,215,26,27,26,27,560
422,82,1,1,12,12,80
423,1694,46,51,46,51,7816
424,81,247,263,298,317,2002
425,297,52,54,52,54,1557
426,280,51,54,51,54,1417
427,56,223,249,268,30,1246
428,492,85,85,85,85,4158
429,426,15,16,18,19,646
430,499,46,51,46,51,2310
431,60,165,165,184,184,992
432,362,196,204,236,245,7091
433,363,95,98,114,118,3431
434,53,19,21,229,253,1007
435,17518,31,4,31,4,54620
436,199,44,44,53,53,871
437,2171,91,156,91,156,19699
438,220,88,91,106,11,1930
439,1355,55,6,55,6,7505
440,374,8,8,1,9,300
441,62,56,53,68,64,349
442,311,66,63,79,76,2038
443,132,46,44,55,53,601
444,135,49,45,49,45,667
445,79,454,407,547,491,3585
446,155,124,135,149,163,1916
447,965,38,34,41,37,3655
448,296,184,174,184,174,5432
449,56,3,3,3,3,170
450,206,88,103,107,124,1823
451,651,55,62,67,75,3612
452,2323,17,17,17,17,3981
453,146,136,145,164,174,1984
454,284,128,139,155,167,3646
455,249,153,16,153,16,3800
456,32,156,121,156,121,498
457,1908,142,143,142,143,27000
458,253,67,67,67,67,1694
459,184,16,174,184,20,2952
460,76,49,52,59,63,374
461,276,11,12,11,12,300
462,3471,22,24,22,24,7575
463,380,87,91,105,11,3322
464,155,335,351,335,351,5196
465,327,78,78,78,78,2566
466,193,87,75,105,9,1686
467,1108,226,274,243,294,25054
468,363,3,3,4,4,117
469,249,2,19,2,19,500
470,769,163,168,163,168,12551
471,137,29,3,29,3,399
472,579,14,15,14,15,784
473,133,159,17,183,196,2112
474,78,77,88,88,101,600
475,101,45,47,45,47,450
476,1222,47,5,47,5,5800
477,1093,23,25,23,25,2565
478,222,107,106,107,106,2385
479,2067,5,5,5,5,10398
480,175,196,22,236,265,3434
481,230,17,16,6,56,400
482,104,33,29,49,45,338
483,177,16,134,16,134,2835
484,62,96,108,115,13,594
485,487,21,22,21,22,1017
486,177,45,45,54,54,789
487,105,74,48,74,48,774
488,140,46,37,46,37,640
489,230,22,22,22,22,500
490,236,25,25,28,28,601
491,846,191,222,191,222,16179
492,139,176,176,176,176,2446
493,51,66,73,66,73,338
494,195,92,74,11,89,1786
495,51,176,163,212,197,899
496,1106,15,172,172,198,16560
497,99,53,55,64,67,526
498,56,79,94,79,94,440
499,213,103,9,103,9,2185
500,0,203,0,206,166,0
501,1467,1,516,315,8,0
502,388,288,247,312,238,0
503,0,30,76,119,0,9151
504,406,143,140,0,0,0
505,0,28,133,83,242,0
506,125,60,55,23,340,0
507,0,216,93,14,0,0
508,0,57,0,317,194,2864
509,166,127,293,226,206,11442
510,0,8,207,69,245,0
511,0,119,3,0,108,16999
512,0,99,198,346,161,1952
513,405,23,214,48,0,7685
514,1431,126,0,0,210,511
515,0,40,167,155,274,1611
516,882,0,96,108,143,6332
517,2,0,107,61,53,7837
518,0,145,222,0,76,612
519,0,3,392,135,201,9728
520,3093,290,0,139,69,8974
521,343,189,0,112,140,4089
522,662,156,100,0,98,11658
523,90,172,0,113,238,0
524,0,0,182,0,198,1507
525,1068,182,146,0,0,5560
526,738,0,232,45,183,6367
527,266,218,142,0,70,14160
528,405,124,153,3,305,12098
529,0,229,335,238,170,0
530,1777,9,177,0,0,15363
531,3232,125,64,248,60,0
532,0,190,108,177,0,0
533,0,228,41,278,246,1293
534,966,47,226,222,163,0
535,1953,241,301,0,207,9221
536,0,114,64,0,100,6410
537,142,82,335,4,19,0
538,426,360,47,126,138,5121
539,918,217,115,40,31,1763
540,1786,0,105,0,79,2639
541,2403,209,315,151,487,12072
542,0,194,221,132,220,0
543,0,73,64,364,24,6095
544,0,284,230,61,215,10675
545,395,108,0,208,0,8495
546,0,125,110,315,217,4953
547,0,80,116,196,76,4926
548,922,64,307,135,188,0
549,0,272,219,244,76,8825
550,956,104,0,306,224,0
551,2426,76,145,225,265,8967
552,316,182,0,34,200,3059
553,1644,30,132,91,143,0
554,1891,0,0,344,332,3937
555,827,0,0,30,0,10277
556,0,275,164,0,56,0
557,2653,0,199,358,39,8689
558,1648,272,266,105,63,1693
559,239,147,0,66,150,10156
560,1278,294,169,19,71,0
561,344,0,227,191,0,11476
562,0,0,70,29,125,2711
563,0,0,0,101,101,14409
564,1681,58,216,0,0,0
565,487,81,134,177,233,17350
566,0,73,235,47,0,5083
567,328,56,184,61,26,0
568,0,213,0,43,137,3423
569,0,80,0,69,0,6737
570,2010,38,241,291,0,9222
571,0,220,222,81,203,0
572,0,0,203,242,107,9137
573,1442,197,0,171,8,3189
574,0,186,178,0,91,0
575,0,181,115,106,306,8629
576,1281,158,47,190,22,7434
577,1188,320,86,0,298,0
578,0,0,148,84,0,0
579,0,219,104,78,92,8230
580,1293,41,31,108,0,3425
581,1632,179,71,272,327,2205
582,323,184,44,100,45,5634
583,851,143,14,222,166,0
584,53,210,126,8,176,3726
585,986,0,114,238,0,3531
586,0,117,103,21,127,1266
587,0,0,0,0,173,2153
588,1390,26,0,105,0,4002
589,0,24,78,84,247,3171
590,0,145,188,360,0,16155
591,280,0,103,90,149,2108
592,1074,94,276,265,150,0
593,0,145,176,227,185,844
594,1911,239,184,222,122,18108
595,169,130,0,10,259,112
596,0,26,120,77,174,7026
597,0,45,156,319,283,0
598,0,123,66,214,0,280
599,0,55,125,21,0,0
600,0,62,0,147,165,3598
601,0,57,189,133,33,3614
602,1418,113,11,138,79,0
603,458,172,0,111,93,4776
604,3443,0,329,206,0,8614
605,2890,163,21,209,28,0
606,442,63,0,268,290,8618
607,1322,36,30,96,40,15042
608,279,0,0,166,61,7515
609,318,254,288,0,146,3052
610,737,114,69,115,182,1271
611,948,0,158,19,144,2318
612,0,165,163,8,160,3824
613,85,163,97,140,184,5948
614,2520,45,121,191,118,17399
615,264,55,61,3,232,3201
616,1582,234,0,107,227,10056
617,2574,145,49,0,160,0
618,0,228,0,202,149,5095
619,136,74,190,30,46,0
620,0,82,51,0,398,9541
621,1574,31,287,264,158,1224
622,1141,114,196,221,90,7128
623,704,0,158,143,276,2469
624,867,165,151,65,296,0
625,0,0,55,238,288,0
626,0,190,99,62,213,0
627,0,62,192,72,76,4901
628,1929,123,57,0,217,0
629,0,11,167,79,258,3941
630,1520,193,179,0,296,6223
631,576,100,122,240,169,0
632,1541,48,29,208,206,4957
633,0,302,58,0,136,0
634,0,0,89,74,389,0
635,0,330,0,165,177,0
636,0,134,3,20,152,7597
637,421,0,0,231,193,9863
638,1242,210,2,10,0,6844
639,91,129,0,0,167,9159
640,1370,64,207,111,0,0
641,96,148,174,129,0,10191
642,818,246,45,0,196,4785
643,1733,172,148,0,165,0
644,0,2,63,334,3,0
645,0,0,0,49,0,5203
646,737,194,0,38,152,3587
647,0,283,101,84,15,0
648,44,0,134,69,107,0
649,0,0,133,18,146,6605
650,2068,0,245,111,373,12165
651,503,410,0,228,57,3788
652,892,150,170,0,283,1869
653,35,103,241,0,16,4305
654,425,74,193,18,367,10880
655,100,120,138,94,96,0
656,570,150,67,340,224,12226
657,47,107,389,48,0,11338
658,2602,24,168,344,0,4744
659,1035,184,12,296,393,12554
660,0,0,0,470,75,4811
661,0,4,70,236,163,11036
662,932,222,0,112,101,8727
663,234,10,13,265,76,11625
664,480,136,184,46,0,2530
665,0,72,255,193,7,0
666,0,116,47,109,132,5033
667,1263,82,0,114,312,0
668,712,62,128,224,42,0
669,684,95,98,0,267,0
670,916,106,0,67,71,5998
671,2479,187,94,461,161,18247
672,0,248,251,431,380,2417
673,749,166,37,242,567,3809
674,1363,308,182,88,412,0
675,356,0,15,97,0,2798
676,0,122,0,125,406,19140
677,2317,163,0,139,252,887
678,0,129,256,64,252,2358
679,0,60,195,33,261,11924
680,502,69,247,337,0,1841
681,1309,39,172,430,175,6086
682,0,189,36,227,112,10448
683,2187,91,200,75,230,18717
684,0,334,146,165,97,9875
685,267,10,104,0,0,12898
686,0,0,188,156,0,1288
687,2143,93,64,233,0,1369
688,0,269,93,0,0,0
689,0,44,18,70,175,2299
690,108,240,294,0,12,6185
691,0,162,206,153,257,3680
692,1444,117,307,0,10,1960
693,808,0,180,186,324,0
694,1516,0,141,97,299,6116
695,1744,0,260,77,46,11058
696,780,276,288,0,0,0
697,0,85,0,0,60,5644
698,640,146,0,315,0,0
699,934,86,192,224,3,7483
700,0,0,197,102,218,0
701,1139,65,0,143,172,0
702,643,81,267,88,310,14567
703,1036,114,189,38,155,0
704,754,217,0,237,124,856
705,0,244,162,0,137,946
706,1459,219,93,130,0,4716
707,1234,264,47,139,0,588
708,1903,174,383,61,187,4935
709,149,33,49,0,0,5476
710,161,278,179,233,180,0
711,0,156,204,19,240,757
712,0,188,265,330,7,8903
713,0,93,59,70,118,0
714,1300,170,187,180,0,273
715,1302,222,8,31,204,0
716,2460,262,93,143,0,14970
717,0,120,0,50,207,0
718,706,249,0,160,0,0
719,0,0,236,297,0,5319
720,1635,176,401,220,318,2472
721,502,91,121,87,24,3444
722,2355,29,233,113,0,3115
723,1224,291,0,0,0,2921
724,0,61,20,9,200,2645
725,32,174,143,196,322,2696
726,2530,0,0,165,0,7391
727,0,29,320,124,0,1212
728,0,0,206,0,356,6196
729,16,181,4,80,230,9416
730,217,127,126,36,253,13504
731,0,291,48,157,11,0
732,433,0,41,320,47,0
733,2191,84,0,0,53,8628
734,0,52,0,0,115,7732
735,0,97,10,58,152,598
736,0,242,0,113,0,6092
737,0,214,166,330,218,778
738,2773,0,190,217,0,2056
739,1622,223,84,199,0,5935
740,1628,144,181,0,172,0
741,0,0,127,441,218,2464
742,0,56,122,143,176,2185
743,413,73,116,56,48,205
744,0,117,0,4,32,0
745,146,136,25,216,153,0
746,0,0,0,61,201,0
747,118,203,198,8,280,6741
748,2000,131,15,211,217,5351
749,592,159,301,272,0,19107
750,476,256,175,162,124,13050
751,1064,0,244,216,205,737
752,742,316,81,75,82,6211
753,1176,62,101,230,23,0
754,251,0,40,0,117,14251
755,1684,106,83,108,0,0
756,0,239,201,0,45,11693
757,0,104,0,270,118,11392
758,0,392,162,39,152,8901
759,0,99,131,234,215,4087
760,0,21,0,139,78,0
761,1559,220,152,150,40,7946
762,1685,0,0,113,0,22063
763,2045,210,275,198,0,17827
764,1407,220,179,210,0,17884
765,741,130,252,40,99,9013
766,670,209,140,0,121,7095
767,0,285,184,0,127,1268
768,316,12,0,206,185,9674
769,1550,210,188,0,0,8726
770,545,222,1,0,337,730
771,1673,43,170,246,0,0
772,1902,120,64,193,57,5104
773,1823,45,203,0,424,13688
774,1432,0,391,129,102,12699
775,0,114,268,51,135,8498
776,0,160,104,58,151,823
777,1683,133,16,446,188,0
778,2081,138,0,251,337,6982
779,0,109,0,54,116,0
780,1614,133,15,142,0,2332
781,0,269,95,56,0,15075
782,0,48,214,324,267,5514
783,0,24,259,84,17,5384
784,0,77,0,210,14,0
785,0,190,294,258,30,11396
786,0,0,74,168,323,1624
787,852,177,210,181,396,0
788,1124,392,0,31,0,1305
789,555,148,88,191,36,6550
790,1829,175,26,0,0,13939
791,61,183,52,94,90,0
792,428,37,87,270,0,5692
793,0,0,276,269,196,0
794,1899,174,83,149,137,4175
795,164,159,0,80,107,0
796,292,0,0,110,241,13701
797,0,239,234,135,223,1005
798,1107,0,119,0,0,0
799,112,0,169,0,0,12236
800,1504,152,275,280,20,3537
801,1424,69,0,200,0,1307
802,2234,234,158,76,18,0
803,836,25,32,244,0,5653
804,0,203,170,111,0,4804
805,1693,86,186,6,183,16286
806,1176,0,0,16,0,7999
807,0,33,45,231,113,7905
808,2214,43,264,364,155,1788
809,1102,0,195,210,158,4011
810,1248,195,18,184,0,8789
811,561,153,238,213,0,12921
812,1855,26,240,189,176,5841
813,957,318,18,209,455,0
814,559,74,162,0,0,2291
815,407,73,85,26,148,0
816,116,200,68,5,312,0
817,769,0,56,96,0,7096
818,0,212,232,278,4,1723
819,1931,0,51,139,240,2744
820,208,30,103,155,158,3961
821,45,273,78,218,260,9342
822,42,0,51,0,164,0
823,1871,259,95,122,231,0
824,719,57,344,53,102,12548
825,1317,0,89,272,173,6373
826,843,178,269,221,34,8727
827,2433,83,162,91,223,6154
828,266,184,117,16,489,8512
829,0,34,256,340,455,3955
830,0,125,107,166,205,0
831,307,212,0,86,7,5410
832,0,16,0,140,6,3924
833,0,10,106,0,40,0
834,323,137,19,324,28,9606
835,0,167,136,0,140,8891
836,1057,0,176,255,223,4869
837,725,120,0,51,86,0
838,223,55,478,176,44,5814
839,890,161,0,288,318,10719
840,0,0,154,175,1,4023
841,1050,134,121,185,182,2359
842,585,150,84,188,417,2966
843,110,0,193,0,146,8780
844,85,108,346,104,16,0
845,509,244,0,236,16,0
846,555,79,0,42,0,1311
847,411,125,0,0,282,3849
848,78,104,129,173,0,6133
849,1594,230,85,99,199,8547
850,0,53,0,234,44,10325
851,0,59,119,133,139,4797
852,677,237,53,1,0,1824
853,0,122,223,345,237,8782
854,644,50,0,85,240,6067
855,803,94,324,0,52,152
856,0,228,262,290,348,7328
857,670,365,113,156,53,12560
858,0,129,85,133,375,5566
859,412,0,13,291,96,0
860,0,312,175,71,0,563
861,1650,0,143,0,83,0
862,0,312,158,0,351,0
863,0,176,0,15,272,4654
864,0,29,136,0,263,17082
865,1857,65,260,10,68,8864
866,2081,180,0,146,87,4340
867,0,256,329,172,42,0
868,0,183,90,0,0,1386
869,408,87,220,253,352,0
870,999,334,190,173,73,10000
871,1329,174,0,161,71,1341
872,0,301,367,162,366,12240
873,436,0,140,0,393,0
874,1364,128,97,91,228,1083
875,1045,345,0,0,28,0
876,0,101,129,158,0,0
877,126,0,5,0,102,7200
878,0,136,0,0,0,7342
879,1387,189,0,241,147,20304
880,2035,0,48,203,171,7756
881,1485,173,331,28,108,9822
882,262,99,230,0,0,0
883,0,0,0,193,272,9997
884,2920,0,98,349,160,16092
885,1153,0,241,97,0,0
886,2047,61,191,241,115,0
887,390,3,198,68,165,3426
888,75,193,67,124,115,6539
889,707,178,0,120,0,0
890,809,235,266,0,9,0
891,0,244,150,147,605,8175
892,148,120,179,139,203,0
893,0,116,216,325,310,1917
894,2450,0,130,316,0,10596
895,379,71,259,107,0,0
896,0,107,168,133,344,3406
897,404,269,58,0,56,0
898,0,0,169,0,265,8144
899,0,0,177,98,221,2734
900,1929,280,214,192,187,4365
901,931,0,362,87,28,14397
902,817,275,223,0,0,0
903,0,193,120,354,54,967
904,1069,284,106,83,266,0
905,750,99,0,129,389,2455
906,0,155,122,293,13,7315
907,949,0,148,401,275,3369
908,0,83,7,0,0,0
909,642,6,71,129,0,8404
910,0,24,163,0,126,10072
911,0,67,278,209,194,11942
912,1671,73,137,131,349,3834
913,0,265,108,17,237,0
914,0,192,247,212,285,7461
915,0,35,70,299,248,1045
916,1872,21,402,45,141,654
917,722,258,165,121,0,9216
918,773,29,131,331,0,183
919,1331,316,139,157,0,1948
920,0,69,118,248,0,27216
921,1454,80,172,142,166,7071
922,844,0,112,291,0,4507
923,0,305,213,32,94,14026
924,269,83,182,216,181,0
925,0,57,77,77,193,0
926,1752,163,100,82,85,6182
927,0,124,159,0,0,4361
928,0,217,9,0,356,11516
929,1774,0,0,51,439,11553
930,586,203,264,242,154,5870
931,1996,188,48,116,285,0
932,0,477,0,17,284,0
933,695,39,115,306,0,8619
934,0,76,204,175,289,65
935,909,0,106,0,269,0
